song,artist,popularity
Wildest Dreams (Taylor's Version),Taylor Swift,87.0
Arcade,Duncan Laurence,80.0
Dead Right Now,Lil Nas X,59.0
Tales Of Dominica,Lil Nas X,64.0
Race My Mind,Drake,69.0
Lost In The Citadel,Lil Nas X,58.0
Sun Goes Down,Lil Nas X,63.0
7am On Bridle Path,Drake,65.0
Off The Grid,Kanye West,74.0
Country Again,Thomas Rhett,71.0
Lalisa,Lisa,75.0
Single Saturday Night,Cole Swindell,66.0
We Didn't Have Much,Justin Moore,66.0
Jail,Kanye West,66.0
The Remorse,Drake,61.0
Ok Ok,Kanye West,59.0
Junya,Kanye West,60.0
Believe What I Say,Kanye West,67.0
Jonah,Kanye West,60.0
Jesus Lord,Kanye West,59.0
Motley Crew,Post Malone,76.0
Remote Control,Kanye West,60.0
God Breathed,Kanye West,57.0
Heartbreak Anniversary,Giveon,82.0
Forever After All,Luke Combs,81.0
Heaven And Hell,Kanye West,64.0
24,Kanye West,62.0
Pure Souls,Kanye West,64.0
No Child Left Behind,Kanye West,65.0
Donda,Kanye West,54.0
Keep My Spirit Alive,Kanye West,58.0
Jail Pt 2,Kanye West,58.0
"I Am Not A Woman, I'm A God",Halsey,59.0
New Again,Kanye West,62.0
Lord I Need You,Kanye West,59.0
Come To Life,Kanye West,61.0
Tell The Vision,Kanye West,51.0
Brutal,Olivia Rodrigo,81.0
Repeat It,Lil Tecca & Gunna,3.0
Blinding Lights,The Weeknd,92.0
Glad You Exist,Dan + Shay,67.0
Without You,The Kid LAROI,78.0
Astronaut In The Ocean,Masked Wolf,78.0
Rapstar,Polo G,82.0
Lil Bit,Nelly & Florida Georgia Line,9.0
Don't Go,"Skrillex, Justin Bieber & Don Toliver",63.0
Tombstone,Rod Wave,70.0
Visiting Hours,Ed Sheeran,69.0
Miss The Rage,Trippie Redd & Playboi Carti,11.0
Paralyzed,Sueco,62.0
I Guess I'm In Love,Clinton Kane,76.0
What's Wrong,Rod Wave,65.0
Tick Tock,Young Thug,49.0
Permission To Dance,BTS,78.0
Time Heals,Rod Wave,55.0
Papercuts,Machine Gun Kelly,61.0
SUVs (Black On Black),Jack Harlow & Pooh Shiesty,1.0
Straightenin,Migos,64.0
Blame It On You,Jason Aldean,61.0
Brainwashed,Tom MacDonald,50.0
Favorite Crime,Olivia Rodrigo,86.0
Ball If I Want To,DaBaby,72.0
Next Girl,Carly Pearce,58.0
I Like Dat,T-Pain & Kehlani,43.0
Steal My Love,Dan + Shay,61.0
Telepatia,Kali Uchis,85.0
NDA,Billie Eilish,77.0
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,68.0
Happier,Olivia Rodrigo,86.0
Twerkulator,City Girls,63.0
Rare,Nas,53.0
Getting Older,Billie Eilish,73.0
Billie Bossa Nova,Billie Eilish,80.0
Oxytocin,Billie Eilish,71.0
I Didn't Change My Number,Billie Eilish,76.0
Way Less Sad,AJR,66.0
Lost Cause,Billie Eilish,72.0
Halley's Comet,Billie Eilish,79.0
My Future,Billie Eilish,73.0
Build A Bitch,Bella Poarch,75.0
Settling Down,Miranda Lambert,61.0
Gone,Dierks Bentley,60.0
Red Light Green Light,DaBaby,67.0
Lick Back,EST Gee,63.0
Ski,Young Thug & Gunna,3.0
Minimum Wage,Blake Shelton,58.0
Drivers License,Olivia Rodrigo,88.0
pov,Ariana Grande,76.0
More Time,Pop Smoke,59.0
Am I The Only One,Aaron Lewis,55.0
"Jealousy, Jealousy",Olivia Rodrigo,84.0
Breaking Up Was Easy In The 90's,Sam Hunt,65.0
The Jackie,Bas With J. Cole & Lil TJay,62.0
Follow You,Imagine Dragons,70.0
4 Da Gang,42 Dugg & Roddy Ricch,0.0
De Museo,Bad Bunny,67.0
All I Know So Far,P!nk,68.0
Track Star,Mooski,59.0
Made For You,Jake Owen,69.0
What's Next,Drake,74.0
Enough For You,Olivia Rodrigo,78.0
Lumberjack,"Tyler, The Creator",64.0
Almost Maybes,Jordan Davis,68.0
Corso,"Tyler, The Creator",66.0
Massa,"Tyler, The Creator",61.0
Wilshire,"Tyler, The Creator",65.0
What You Know Bout Love,Pop Smoke,82.0
Time Today,Moneybagg Yo,73.0
Up,Cardi B,73.0
Nobody,Dylan Scott,63.0
Quicksand,Morray,63.0
Gang Gang,Polo G & Lil Wayne,60.0
Pick Up Your Feelings,Jazmine Sullivan,62.0
Avalanche,Migos,59.0
We're Good,Dua Lipa,5.0
Black Hearted,Polo G,66.0
Painting Pictures,Polo G,59.0
Modern Day,Migos,58.0
Toxic,Polo G,63.0
Solar Power,Lorde,68.0
Type Shit,Migos & Cardi B,3.0
Voice Of The Heroes,Lil Baby & Lil Durk,1.0
Epidemic,Polo G,66.0
Boom,Polo G,54.0
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,80.0
Bloody Canvas,Polo G,58.0
Who I Want,Lil Baby & Lil Durk,5.0
Okay,Lil Baby & Lil Durk,6.0
Snowflakes,Tom MacDonald,59.0
Your Power,Billie Eilish,77.0
Hope Ur OK,Olivia Rodrigo,76.0
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",66.0
The Good Ones,Gabby Barrett,76.0
Hell Of A View,Eric Church,71.0
On Me,Lil Baby,77.0
amari,J. Cole,40.0
The Business,Tiesto,80.0
Hold On,Justin Bieber,75.0
Wasted On You,Morgan Wallen,87.0
Botella Tras Botella,Gera MX + Christian Nodal,31.0
interlude,J. Cole,55.0
Streets,Doja Cat,83.0
close,J. Cole,33.0
Fractions,Nicki Minaj,55.0
White Teeth,YoungBoy Never Broke Again,57.0
Itty Bitty Piggy,Nicki Minaj,61.0
Street Runner,Rod Wave,73.0
Shottas (Lala),Moneybagg Yo,59.0
Never Left,Lil Tecca,66.0
Higher Power,Coldplay,0.0
Lady,Brett Young,66.0
Positions,Ariana Grande,84.0
You Broke Me First.,Tate McRae,84.0
Therefore I Am,Billie Eilish,75.0
What's Your Country Song,Thomas Rhett,71.0
Good Days,SZA,81.0
Ramen & OJ,Joyner Lucas & Lil Baby,74.0
Down To One,Luke Bryan,61.0
Hard For The Next,Moneybagg Yo & Future,1.0
What You Need,Don Toliver,61.0
Tampa,Cico P,65.0
Big Gangsta,Kevin Gates,65.0
Headshot,"Lil Tjay, Polo G & Fivio Foreign",76.0
Go Crazy,Chris Brown & Young Thug,77.0
34+35,Ariana Grande,80.0
Somebody Like That,Tenille Arts,72.0
Final Warning,NLE Choppa,71.0
If Pain Was A Person,Moneybagg Yo,56.0
Willow,Taylor Swift,82.0
Damage,H.E.R.,62.0
Just Say Det,Moneybagg Yo,56.0
Anyone,Justin Bieber,1.0
My Head And My Heart,Ava Max,79.0
How They Remember You,Rascal Flatts,51.0
Masterpiece,DaBaby,70.0
Long Live,Florida Georgia Line,65.0
Clear Da Air,Moneybagg Yo,48.0
Save Your Tears,The Weeknd,89.0
Starting Over,Chris Stapleton,78.0
Momma's House,Dustin Lynch,59.0
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,78.0
You Got It,VEDO,70.0
Ruff Ryders' Anthem,DMX,74.0
Party Up (Up In Here),DMX,0.0
X Gon' Give It To Ya,DMX,74.0
Love Story (Taylor's Version),Taylor Swift,85.0
Forever & Always (Taylor's Version),Taylor Swift,75.0
Fearless (Taylor's Version),Taylor Swift,85.0
You Belong With Me (Taylor's Version),Taylor Swift,87.0
Shy Away,twenty one pilots,72.0
Fifteen (Taylor's Version),Taylor Swift,74.0
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,1.0
The Way I Loved You (Taylor's Version),Taylor Swift,85.0
Dancing With The Devil,Demi Lovato,53.0
Put Your Records On,Ritt Momney,76.0
Whoopty,CJ,73.0
Film Out,BTS,69.0
Body,Megan Thee Stallion,72.0
Buss It,Erica Banks,63.0
Dynamite,BTS,83.0
SoulFly,Rod Wave,61.0
Gone Till November,Rod Wave,62.0
Blame On You,Rod Wave,55.0
All I Got,Rod Wave,53.0
Pills & Billz,Rod Wave,53.0
How The Game Go,Rod Wave,54.0
OMDB,Rod Wave,55.0
Clouds,NF,69.0
What's Love??,Rod Wave,58.0
Shock Da World,Rod Wave,54.0
Sneaky Links,Rod Wave,54.0
Better Together,Luke Combs,76.0
Good Time,Niko Moon,72.0
Off My Face,Justin Bieber,78.0
2 Much,Justin Bieber,69.0
Deserve You,Justin Bieber,65.0
Somebody,Justin Bieber,71.0
Beers And Sunshine,Darius Rucker,68.0
Throat Baby (Go Baby),BRS Kash,57.0
On The Ground,ROSE,72.0
Baila Conmigo,Selena Gomez With Rauw Alejandro,73.0
Like I Want You,Giveon,77.0
Undivided,Tim McGraw & Tyler Hubbard,1.0
Golden,Harry Styles,82.0
Moonwalking In Calabasas,DDG,73.0
Tyler Herro,Jack Harlow,78.0
Somebody's Problem,Morgan Wallen,74.0
Cover Me Up,Morgan Wallen,80.0
Life's A Mess II,"Juice WRLD, Clever & Post Malone",70.0
AP,Pop Smoke,65.0
Bang!,AJR,73.0
Lonely,Justin Bieber & benny blanco,51.0
Only Wanna Be With You,Post Malone,66.0
Hole In The Bottle,Kelsea Ballerini,67.0
Bichota,Karol G,73.0
Test Drive,Ariana Grande,65.0
Chicken Tendies,Clinton Kane,66.0
Afterglow,Ed Sheeran,73.0
Monster,Shawn Mendes & Justin Bieber,72.0
Before You Go,Lewis Capaldi,86.0
What It Feels Like,Nipsey Hussle & JAY-Z,45.0
So Done,The Kid LAROI,73.0
Happy Does,Kenny Chesney,58.0
"Big, Big Plans",Chris Lane,69.0
Kings & Queens,Ava Max,82.0
GNF (OKOKOK),Polo G,58.0
865,Morgan Wallen,73.0
Dangerous,Morgan Wallen,73.0
Warning,Morgan Wallen,72.0
Still Goin Down,Morgan Wallen,69.0
Skin,Sabrina Carpenter,67.0
7 Summers,Morgan Wallen,80.0
More Than My Hometown,Morgan Wallen,81.0
Diamonds,Sam Smith,66.0
Holiday,Lil Nas X,73.0
Stay Down,"Lil Durk, 6LACK & Young Thug",51.0
Kanye Krazy,Lil Durk,50.0
Backdoor,Lil Durk,53.0
Fake Woke,Tom MacDonald,62.0
Take You Dancing,Jason Derulo,77.0
Champagne Night,Lady A,58.0
Kacey Talk,YoungBoy Never Broke Again,68.0
Adderall (Corvette Corvette),Popp Hunna,54.0
I Should Probably Go To Bed,Dan + Shay,61.0
Love You Like I Used To,Russell Dickerson,60.0
De Una Vez,Selena Gomez,3.0
Neon Eyes,Morgan Wallen,67.0
More Surprised Than Me,Morgan Wallen,66.0
Livin' The Dream,Morgan Wallen,67.0
Whiskey'd My Way,Morgan Wallen,63.0
Your Bartender,Morgan Wallen,67.0
This Bar,Morgan Wallen,77.0
Wonderin' Bout The Wind,Morgan Wallen,65.0
Midnight Sky,Miley Cyrus,78.0
Pretty Heart,Parker McCollum,69.0
Watermelon Sugar,Harry Styles,90.0
Some Girls,Jameson Rodgers,61.0
Took Her To The O,King Von,81.0
Wonder,Shawn Mendes,72.0
Everywhere But On,Matt Stell,56.0
All I Want For Christmas Is You,Mariah Carey,70.0
Rockin' Around The Christmas Tree,Brenda Lee,63.0
Jingle Bell Rock,Bobby Helms,62.0
A Holly Jolly Christmas,Burl Ives,56.0
It's The Most Wonderful Time Of The Year,Andy Williams,58.0
Run Rudolph Run,Chuck Berry,54.0
Feliz Navidad,Jose Feliciano,54.0
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,60.0
The Christmas Song (Merry Christmas To You),Nat King Cole,58.0
Underneath The Tree,Kelly Clarkson,52.0
Redman,Lil Durk,53.0
Slay3r,Playboi Carti,64.0
Refugee,Lil Durk,57.0
Take Me Home For Christmas,Dan + Shay,40.0
Vamp Anthem,Playboi Carti,78.0
New N3on,Playboi Carti,66.0
Death Ain't Easy,Lil Durk,46.0
Last Christmas,Wham!,71.0
Sleigh Ride,The Ronettes,54.0
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,53.0
Rudolph The Red-Nosed Reindeer,Gene Autry,47.0
Santa Tell Me,Ariana Grande,65.0
Happy Holiday / The Holiday Season,Andy Williams,48.0
Christmas (Baby Please Come Home),Darlene Love,50.0
White Christmas,Bing Crosby,52.0
(There's No Place Like) Home For The Holidays,Perry Como,42.0
It's Beginning To Look A Lot Like Christmas,Michael Buble,50.0
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,48.0
Wonderful Christmastime,Paul McCartney,54.0
Blue Christmas,Elvis Presley,54.0
Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,50.0
This Christmas,Donny Hathaway,47.0
Deck The Halls,Nat King Cole,53.0
Please Come Home For Christmas,Eagles,51.0
Santa Claus Is Comin' To Town,Jackson 5,49.0
Little Saint Nick,The Beach Boys,0.0
Have Yourself A Merry Little Christmas,Michael Buble,40.0
Gnat,Eminem,67.0
Rockin' Around The Christmas Tree,Justin Bieber,33.0
Favorite Time Of Year,Carrie Underwood,26.0
Champagne Problems,Taylor Swift,83.0
The First Noel,Gabby Barrett,22.0
Tequila Shots,Kid Cudi,72.0
'Tis The Damn Season,Taylor Swift,76.0
Silent Night,Carrie Underwood,31.0
Gold Rush,Taylor Swift,74.0
Tolerate It,Taylor Swift,78.0
She Knows This,Kid Cudi,56.0
Happiness,Taylor Swift,70.0
Show Out,"Kid Cudi, Skepta & Pop Smoke",69.0
Ivy,Taylor Swift,73.0
Another Day,Kid Cudi,58.0
Dorothea,Taylor Swift,69.0
Long Story Short,Taylor Swift,70.0
Cowboy Like Me,Taylor Swift,72.0
Marjorie,Taylor Swift,75.0
Dive,Kid Cudi,56.0
Closure,Taylor Swift,67.0
Heaven On Earth,Kid Cudi,54.0
Sad People,Kid Cudi,61.0
Damaged,Kid Cudi,51.0
Errbody,Lil Baby,59.0
Beautiful Trip,Kid Cudi,48.0
Dicked Down In Dallas,Trey Lewis,72.0
Life Goes On,BTS,78.0
Martin & Gina,Polo G,83.0
Heather,Conan Gray,87.0
Practice,DaBaby,66.0
Te Mudaste,Bad Bunny,81.0
Said Sum,Moneybagg Yo,66.0
Yo Visto Asi,Bad Bunny,66.0
Haciendo Que Me Amas,Bad Bunny,75.0
Te Deseo Lo Mejor,Bad Bunny,73.0
Booker T,Bad Bunny,76.0
El Mundo Es Mio,Bad Bunny,63.0
Hoy Cobre,Bad Bunny,68.0
Maldita Pobreza,Bad Bunny,64.0
La Droga,Bad Bunny,72.0
Blue & Grey,BTS,73.0
Stay,BTS,65.0
One Of Them Girls,Lee Brice,77.0
Fly To My Room,BTS,64.0
Telepathy,BTS,69.0
Dis-ease,BTS,66.0
Girls In The Hood,Megan Thee Stallion,67.0
Shots Fired,Megan Thee Stallion,49.0
U 2 Luv,Ne-Yo & Jeremih,42.0
Wishing Well,Juice WRLD,80.0
Circles,Megan Thee Stallion,56.0
Got What I Got,Jason Aldean,71.0
Adore You,Harry Styles,86.0
La Toxica,Farruko,68.0
Tap In,Saweetie,69.0
Rockstar Chainz,Future,46.0
Roses,SAINt JHN,68.0
Lovin' On You,Luke Combs,73.0
Always Do,The Kid LAROI,69.0
Young Wheezy,NAV With Gunna,58.0
Just Like Magic,Ariana Grande,70.0
Shut Up,Ariana Grande,60.0
Thriller,Michael Jackson,73.0
Nasty,Ariana Grande,67.0
Break My Heart,Dua Lipa,79.0
Six Thirty,Ariana Grande,59.0
My Hair,Ariana Grande,63.0
Obvious,Ariana Grande,62.0
West Side,Ariana Grande,59.0
Love Language,Ariana Grande,61.0
Weeeeee,Trippie Redd,58.0
Circles,Post Malone,89.0
Dreams,Fleetwood Mac,87.0
Don't Start Now,Dua Lipa,1.0
Spicy,Ty Dolla $ign Featuring Post Malone,73.0
The Other Guy,Luke Combs,63.0
The Bigger Picture,Lil Baby,67.0
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",0.0
Do It,Chloe X Halle,66.0
Cardigan,Taylor Swift,92.0
"Wine, Beer, Whiskey",Little Big Town,69.0
OK Not To Be OK,Marshmello & Demi Lovato,44.0
Canceled,Larray,56.0
Smile,Juice WRLD & The Weeknd,13.0
Breaking Me,Topic & A7S,11.0
I Called Mama,Tim McGraw,52.0
Bloody Valentine,Machine Gun Kelly,72.0
Cool Again,Kane Brown,60.0
Sofia,Clairo,81.0
Fallin',Why Don't We,63.0
Lovesick Girls,BLACKPINK,75.0
Rain On Me,Lady Gaga & Ariana Grande,76.0
Always Forever,Bryson Tiller,60.0
Years Go By,Bryson Tiller,55.0
Chasin' You,Morgan Wallen,84.0
Die From A Broken Heart,Maddie & Tae,71.0
We Paid,Lil Baby & 42 Dugg,18.0
Nobody's Love,Maroon 5,66.0
Better,Zayn,62.0
Drunk Face,Machine Gun Kelly,69.0
"Ay, Dios Mio!",Karol G,0.0
Money Over Fallouts,Tory Lanez,44.0
Savage,Megan Thee Stallion,70.0
Blueberry Faygo,Lil Mosey,76.0
Wet. (She Got That...) ,YFN Lucci,54.0
Lonely If You Are,Chase Rice,63.0
Drug Addiction,YoungBoy Never Broke Again,63.0
The Bones,Maren Morris,74.0
One Margarita,Luke Bryan,69.0
Gone Too Soon,Andrew Jannakos,54.0
All In,YoungBoy Never Broke Again,67.0
Dead Trollz,YoungBoy Never Broke Again,61.0
Cross Roads,YoungBoy Never Broke Again,56.0
The Last Backyard...,YoungBoy Never Broke Again,54.0
Right Foot Creep,YoungBoy Never Broke Again,68.0
One Night Standards,Ashley McBryde,65.0
Lets Link,WhoHeem,62.0
Dirty Stick,YoungBoy Never Broke Again,55.0
Got It On Me,Pop Smoke,77.0
Party Girl,StaySolidRocky,74.0
The Voice,Lil Durk,64.0
Why We Drink,Justin Moore,65.0
After Party,Don Toliver,79.0
Why Would I Stop?,Big Sean,52.0
I Love My Country,Florida Georgia Line,57.0
God Whispered Your Name,Keith Urban,54.0
Expensive,Ty Dolla $ign Featuring Nicki Minaj,53.0
The 1,Taylor Swift,84.0
Done,Chris Janson,63.0
Girl Of My Dreams,Rod Wave,70.0
The Box,Roddy Ricch,84.0
The Plan,Travis Scott,62.0
21,Polo G,77.0
Emotionally Scarred,Lil Baby,73.0
Bluebird,Miranda Lambert,71.0
Toosie Slide,Drake,74.0
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",24.0
Conversations,Juice WRLD,76.0
Righteous,Juice WRLD,74.0
Something Special,Pop Smoke,70.0
Hard To Forget,Sam Hunt,67.0
Letter From Houston,Rod Wave,70.0
One Big Country Song,LOCASH,59.0
Freestyle,Rod Wave,57.0
Falling,Trevor Daniel,79.0
The Last Great American Dynasty,Taylor Swift,78.0
My Tears Ricochet,Taylor Swift,81.0
August,Taylor Swift,92.0
Invisible String,Taylor Swift,79.0
Betty,Taylor Swift,79.0
Mirrorball,Taylor Swift,81.0
Blood On My Jeans,Juice WRLD,71.0
Lion King On Ice,J. Cole,59.0
Seven,Taylor Swift,77.0
This Is Me Trying,Taylor Swift,79.0
Illicit Affairs,Taylor Swift,81.0
Mad Woman,Taylor Swift,72.0
Epiphany,Taylor Swift,70.0
Peace,Taylor Swift,73.0
Hoax,Taylor Swift,72.0
Perfect,Logic,69.0
Sunday Best,Surfaces,78.0
Titanic,Juice WRLD,67.0
Stay High,Juice WRLD,75.0
Bad Energy,Juice WRLD,68.0
Up Up And Away,Juice WRLD,69.0
Fighting Demons,Juice WRLD,66.0
Man Of The Year,Juice WRLD,70.0
Screw Juice,Juice WRLD,65.0
The Adventures Of Moon Man & Slim Shady,Kid Cudi & Eminem,62.0
I Want It,Juice WRLD,65.0
Gangstas,Pop Smoke,72.0
Let It Go,Summer Walker,51.0
Here And Now,Kenny Chesney,59.0
44 Bulldog,Pop Smoke,63.0
Gooba,6ix9ine,72.0
Dior,Pop Smoke,83.0
Yea Yea,Pop Smoke,59.0
Bad Bitch From Tokyo (Intro),Pop Smoke,57.0
P*$$y Fairy (OTW),Jhene Aiko,70.0
Tunnel Vision (Outro),Pop Smoke,55.0
After A Few,Travis Denning,61.0
How You Like That,BLACKPINK,80.0
Yo Perreo Sola,Bad Bunny,77.0
In Between,Scotty McCreery,56.0
YaYa,6ix9ine,58.0
Memories,Maroon 5,86.0
Nobody But You,Blake Shelton Duet With Gwen Stefani,67.0
Hot Girl Bummer,blackbear,79.0
Black Parade,Beyonce,60.0
Daisies,Katy Perry,61.0
In Your Eyes,The Weeknd,80.0
Stick That In Your Country Song,Eric Church,56.0
My Truck,Breland,62.0
Shotta Flow 5,NLE Choppa,61.0
I Hope You're Happy Now,Carly Pearce & Lee Brice,18.0
Everything I Wanted,Billie Eilish,86.0
Snow On Tha Bluff,J. Cole,66.0
Bleed,A Boogie Wit da Hoodie,59.0
Tommy Lee,Tyla Yaweh & Post Malone,52.0
Level Of Concern,twenty one pilots,67.0
Need Me,J.I The Prince Of N.Y,65.0
All In,Lil Baby,60.0
Ride It.,Regard,82.0
Otherside Of America,Meek Mill,53.0
Drinking Alone,Carrie Underwood,54.0
Deep End Freestyle,Sleepy Hallow,68.0
The Man Who Loves You The Most,Zac Brown Band,53.0
Dance Monkey,Tones And I,79.0
Sour Candy,Lady Gaga & BLACKPINK,68.0
Turks,"NAV, Gunna & Travis Scott",67.0
That Way,Lil Uzi Vert,63.0
Hard Days,Brantley Gilbert,49.0
Catch,Brett Young,64.0
Worldwide Beautiful,Kane Brown,48.0
Stupid Love,Lady Gaga,71.0
Alice,Lady Gaga,62.0
Sum 2 Prove,Lil Baby,72.0
Wunna,Gunna,62.0
SkyBox,Gunna,55.0
Argentina,Gunna,57.0
Met Gala,Gunna,67.0
Daechwita,Agust D,74.0
Nasty Girl / On Camera,Gunna,63.0
MOTW,Gunna,57.0
Gimmick,Gunna,50.0
Feigning,Gunna,49.0
Someone You Loved,Lewis Capaldi,90.0
Ballin',Mustard & Roddy Ricch,49.0
Trapped In The Sun,Future,55.0
Hard To Choose One,Future,68.0
Ridin Strikers,Future,55.0
Hitek Tek,Future,51.0
Too Comfortable,Future,71.0
Posted With Demons,Future,54.0
Touch The Sky,Future,52.0
One Of My,Future,53.0
Beautiful Pain (Losin My Mind),Polo G,66.0
33,Polo G,63.0
I Know,Polo G,73.0
Me Vs Me,Moneybagg Yo,69.0
Heart On Ice,Rod Wave,73.0
Toxic,Kehlani,70.0
More Hearts Than Mine,Ingrid Andress,71.0
I Love Me,Demi Lovato,1.0
Six Feet Apart,Luke Combs,59.0
Viral Moment,Lil Durk,51.0
Homemade,Jake Owen,57.0
Time Flies,Drake,79.0
Slow Dance In A Parking Lot,Jordan Davis,73.0
You Should Be Sad,Halsey,73.0
Deep Pockets,Drake,58.0
When To Say When,Drake,61.0
Landed,Drake,62.0
From Florida With Love,Drake,64.0
Losses,Drake,59.0
War,Drake,67.0
Social Distancing,Lil Baby,58.0
Low Down,Lil Baby,81.0
Humble,Lil Baby,63.0
Heatin Up,Lil Baby & Gunna,8.0
Come Thru,Summer Walker & Usher,3.0
Find My Way,DaBaby,58.0
Roxanne,Arizona Zervas,79.0
Heartless,The Weeknd,85.0
HIGHEST IN THE ROOM,Travis Scott,85.0
"10,000 Hours",Dan + Shay & Justin Bieber,78.0
Goosebumps,Travis Scott,87.0
Sasuke,Lil Uzi Vert,51.0
Diamonds,YoungBoy Never Broke Again,51.0
Myron,Lil Uzi Vert,72.0
Captain Hook,Megan Thee Stallion,67.0
Rough Ryder,YoungBoy Never Broke Again,48.0
Underdog,Alicia Keys,66.0
