song,artist
Marni On Me,Future & Lil Uzi Vert
Million Dollar Play,Future & Lil Uzi Vert
Sleeping On The Floor,Future & Lil Uzi Vert
Blind,DaBaby Featuring Young Thug
Plastic,Future & Lil Uzi Vert
24,Money Man Featuring Lil Baby
Runnin,21 Savage & Metro Boomin
Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
La Toxica,Farruko
Tap In,Saweetie
Rockstar Chainz,Future
Bought A Bad Bitch,Future & Lil Uzi Vert
What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again"
Rags2Riches,Rod Wave Featuring ATR Son Son
Roses,SAINt JHN
Lovin' On You,Luke Combs
Don't Need Friends,NAV Featuring Lil Baby
The Code,King Von Featuring Polo G
Tragic,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money
All These N**gas,King Von Featuring Lil Durk
Motive,Ariana Grande Featuring Doja Cat
Crazy Story 2.0,King Von Featuring Lil Durk
Always Do,The Kid LAROI
Young Wheezy,NAV With Gunna
Off The Table,Ariana Grande Featuring The Weeknd
Just Like Magic,Ariana Grande
"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly
Shut Up,Ariana Grande
Thriller,Michael Jackson
Nasty,Ariana Grande
Break My Heart,Dua Lipa
Safety Net,Ariana Grande Featuring Ty Dolla $ign
Six Thirty,Ariana Grande
My Hair,Ariana Grande
Obvious,Ariana Grande
West Side,Ariana Grande
Love Language,Ariana Grande
Weeeeee,Trippie Redd
Thick,DJ Chose Featuring BeatKing
Circles,Post Malone
Dreams,Fleetwood Mac
Don't Start Now,Dua Lipa
Spicy,Ty Dolla $ign Featuring Post Malone
The Other Guy,Luke Combs
Without You,Luke Combs Featuring Amanda Shires
The Bigger Picture,Lil Baby
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj
Greece,DJ Khaled Featuring Drake
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy"
Do It,Chloe X Halle
Cardigan,Taylor Swift
Forget Me Too,Machine Gun Kelly & Halsey
Head & Heart,Joel Corry X MNEK
"Wine, Beer, Whiskey",Little Big Town
Hate The Way,G-Eazy Featuring blackbear
OK Not To Be OK,Marshmello & Demi Lovato
Canceled,Larray
Glock In My Lap,21 Savage & Metro Boomin
Ice Cream,BLACKPINK X Selena Gomez
Smile,Juice WRLD & The Weeknd
Breaking Me,Topic & A7S
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G
I Called Mama,Tim McGraw
Bloody Valentine,Machine Gun Kelly
La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
Caramelo,Ozuna x Karol G x Myke Towers
Pardon,T.I. Featuring Lil Baby
Dollaz On My Head,Gunna Featuring Young Thug
If The World Was Ending,JP Saxe Featuring Julia Michaels
"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat
Cool Again,Kane Brown
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug
Slidin,21 Savage & Metro Boomin
Many Men,21 Savage & Metro Boomin
Sofia,Clairo
Fallin',Why Don't We
Outta Time,Bryson Tiller Featuring Drake
My Dawg,21 Savage & Metro Boomin
Brand New Draco,21 Savage & Metro Boomin
Lovesick Girls,BLACKPINK
Snitches & Rats,21 Savage & Metro Boomin Featuring Young Nudy
Rain On Me,Lady Gaga & Ariana Grande
No Opp Left Behind,21 Savage & Metro Boomin
Steppin On N*ggas,21 Savage & Metro Boomin
RIP Luv,21 Savage & Metro Boomin
Always Forever,Bryson Tiller
Years Go By,Bryson Tiller
Said N Done,21 Savage & Metro Boomin
Life Is Good,Future Featuring Drake
Chasin' You,Morgan Wallen
Die From A Broken Heart,Maddie & Tae
We Paid,Lil Baby & 42 Dugg
Like That,Doja Cat Featuring Gucci Mane
Over Now,Calvin Harris X The Weeknd
Nobody's Love,Maroon 5
Better,Zayn
Drunk Face,Machine Gun Kelly
"Ay, Dios Mio!",Karol G
Money Over Fallouts,Tory Lanez
Moral Of The Story,Ashe Featuring Niall Horan
Say So,Doja Cat Featuring Nicki Minaj
Savage,Megan Thee Stallion
Blueberry Faygo,Lil Mosey
Dolly,Lil Tecca & Lil Uzi Vert
My Window,YoungBoy Never Broke Again Featuring Lil Wayne
When You Down,Lil Tecca & Polo G Featuring Lil Durk
Wet. (She Got That...) ,YFN Lucci
Lonely If You Are,Chase Rice
Drug Addiction,YoungBoy Never Broke Again
Wolves,Big Sean Featuring Post Malone
The Bones,Maren Morris
One Margarita,Luke Bryan
Gone Too Soon,Andrew Jannakos
All In,YoungBoy Never Broke Again
Dead Trollz,YoungBoy Never Broke Again
Cross Roads,YoungBoy Never Broke Again
The Last Backyard...,YoungBoy Never Broke Again
Right Foot Creep,YoungBoy Never Broke Again
One Night Standards,Ashley McBryde
Lets Link,WhoHeem
Dirty Stick,YoungBoy Never Broke Again
Got It On Me,Pop Smoke
Death Bed,Powfu Featuring beabadoobee
Intentions,Justin Bieber Featuring Quavo
Party Girl,StaySolidRocky
The Voice,Lil Durk
Lithuania,Big Sean Featuring Travis Scott
Deep Reverence,Big Sean Featuring Nipsey Hussle
Why We Drink,Justin Moore
After Party,Don Toliver
Body Language,Big Sean Featuring Ty Dolla $ign & Jhene Aiko
Why Would I Stop?,Big Sean
Need It,Migos Featuring YoungBoy Never Broke Again
Stuck With U,Ariana Grande & Justin Bieber
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban"
I Love My Country,Florida Georgia Line
God Whispered Your Name,Keith Urban
Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd
Expensive,Ty Dolla $ign Featuring Nicki Minaj
The 1,Taylor Swift
Done,Chris Janson
Girl Of My Dreams,Rod Wave
The Box,Roddy Ricch
The Plan,Travis Scott
Spicy,Nas Featuring Fivio Foreign & A$AP Ferg
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI
Exile,Taylor Swift Featuring Bon Iver
B*tch From da Souf,Mulatto
21,Polo G
Emotionally Scarred,Lil Baby
Bluebird,Miranda Lambert
Toosie Slide,Drake
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul"
Conversations,Juice WRLD
Righteous,Juice WRLD
Past Life,Trevor Daniel x Selena Gomez
Something Special,Pop Smoke
Hard To Forget,Sam Hunt
Letter From Houston,Rod Wave
One Big Country Song,LOCASH
Don't Rush,Young T & Bugsey Featuring Headie One
Freestyle,Rod Wave
Life's A Mess,Juice WRLD X Halsey
Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO
Be Kind,Marshmello & Halsey
Falling,Trevor Daniel
Walk Em Down,NLE Choppa Featuring Roddy Ricch
The Last Great American Dynasty,Taylor Swift
My Tears Ricochet,Taylor Swift
August,Taylor Swift
Invisible String,Taylor Swift
Betty,Taylor Swift
No Dribble,DaBaby x Stunna 4 Vegas
Mirrorball,Taylor Swift
Blood On My Jeans,Juice WRLD
Lion King On Ice,J. Cole
Seven,Taylor Swift
This Is Me Trying,Taylor Swift
Illicit Affairs,Taylor Swift
Mad Woman,Taylor Swift
The Climb Back,J. Cole
Epiphany,Taylor Swift
Peace,Taylor Swift
Hoax,Taylor Swift
Go!,Kid LAROI & Juice WRLD
Perfect,Logic
Sunday Best,Surfaces
Titanic,Juice WRLD
Stay High,Juice WRLD
Bad Energy,Juice WRLD
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
Tell Me U Luv Me,Juice WRLD & Trippie Redd
Up Up And Away,Juice WRLD
Fighting Demons,Juice WRLD
Does To Me,Luke Combs Featuring Eric Church
Man Of The Year,Juice WRLD
Can't Die,Juice WRLD
Chicago Freestyle,Drake Featuring Giveon
Flex,Polo G Featuring Juice WRLD
Screw Juice,Juice WRLD
Enjoy Yourself,Pop Smoke Featuring Karol G
The Adventures Of Moon Man & Slim Shady,Kid Cudi & Eminem
I Want It,Juice WRLD
Gangstas,Pop Smoke
Let It Go,Summer Walker
My Affection,Summer Walker & PARTYNEXTDOOR
Aim For The Moon,Pop Smoke Featuring Quavo
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi
Here And Now,Kenny Chesney
44 Bulldog,Pop Smoke
Gooba,6ix9ine
Dior,Pop Smoke
Yea Yea,Pop Smoke
Make It Rain,Pop Smoke Featuring Rowdy Rebel
Snitchin,Pop Smoke Featuring Quavo & Future
Bad Bitch From Tokyo (Intro),Pop Smoke
Creature,Pop Smoke Featuring Swae Lee
West Coast Shit,Pop Smoke Featuring Tyga & Quavo
P*$$y Fairy (OTW),Jhene Aiko
Wash Us In The Blood,Kanye West Featuring Travis Scott
Diana,Pop Smoke Featuring King Combs
Tunnel Vision (Outro),Pop Smoke
Trollz,6ix9ine & Nicki Minaj
After A Few,Travis Denning
How You Like That,BLACKPINK
Yo Perreo Sola,Bad Bunny
In Between,Scotty McCreery
YaYa,6ix9ine
Memories,Maroon 5
Nobody But You,Blake Shelton Duet With Gwen Stefani
Hot Girl Bummer,blackbear
Black Parade,Beyonce
Know My Rights,6LACK Featuring Lil Baby
Daisies,Katy Perry
Grace,Lil Baby & 42 Dugg
Believe It,PARTYNEXTDOOR & Rihanna
In Your Eyes,The Weeknd
Stick That In Your Country Song,Eric Church
My Truck,Breland
Shotta Flow 5,NLE Choppa
I Hope You're Happy Now,Carly Pearce & Lee Brice
Everything I Wanted,Billie Eilish
Snow On Tha Bluff,J. Cole
Bleed,A Boogie Wit da Hoodie
Tommy Lee,Tyla Yaweh & Post Malone
Level Of Concern,twenty one pilots
One Shot,YoungBoy Never Broke Again Featuring Lil Baby
Need Me,J.I The Prince Of N.Y
All In,Lil Baby
July,Noah Cyrus & Leon Bridges
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
Ride It.,Regard
Otherside Of America,Meek Mill
Drinking Alone,Carrie Underwood
Deep End Freestyle,Sleepy Hallow
The Man Who Loves You The Most,Zac Brown Band
My Oh My,Camila Cabello Featuring DaBaby
Dance Monkey,Tones And I
Sour Candy,Lady Gaga & BLACKPINK
Turks,"NAV, Gunna & Travis Scott"
Cooler Than A Bitch,Gunna Featuring Roddy Ricch
That Way,Lil Uzi Vert
Hard Days,Brantley Gilbert
Catch,Brett Young
Trillionaire,Future Featuring YoungBoy Never Broke Again
Worldwide Beautiful,Kane Brown
Stupid Love,Lady Gaga
TKN,Rosalia & Travis Scott
Godzilla,Eminem Featuring Juice WRLD
T.D,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator"
Alice,Lady Gaga
Hasta Que Dios Diga,Anuel AA & Bad Bunny
Lose Somebody,Kygo & OneRepublic
Sigues Con El,Arcangel x Sech
Solitaires,Future Featuring Travis Scott
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Sum 2 Prove,Lil Baby
Top Floor,Gunna Featuring Travis Scott
Wunna,Gunna
Blindfold,Gunna Featuring Lil Baby
SkyBox,Gunna
Argentina,Gunna
Met Gala,Gunna
Daechwita,Agust D
Nasty Girl / On Camera,Gunna
MOTW,Gunna
Gimmick,Gunna
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas
Be Something,Polo G Featuring Lil Baby
Feigning,Gunna
Someone You Loved,Lewis Capaldi
Ballin',Mustard & Roddy Ricch
Trapped In The Sun,Future
All Bad,Future Featuring Lil Uzi Vert
Hard To Choose One,Future
Ridin Strikers,Future
Hitek Tek,Future
Too Comfortable,Future
Posted With Demons,Future
Touch The Sky,Future
One Of My,Future
Harlem Shake,Future Featuring Young Thug
Pain 1993,Drake Featuring Playboi Carti
Don't Believe The Hype,Polo G
Beautiful Pain (Losin My Mind),Polo G
33,Polo G
I Know,Polo G
Me Vs Me,Moneybagg Yo
Heart On Ice,Rod Wave
Zoo York,Lil Tjay Featuring Fivio Foreign & Pop Smoke
Toxic,Kehlani
I'm Ready,Sam Smith & Demi Lovato
More Hearts Than Mine,Ingrid Andress
I Love Me,Demi Lovato
D4L,"Future, Drake & Young Thug"
Change Your Life,Kehlani Featuring Jhene Aiko
Desires,Drake Featuring Future
Jump,DaBaby Featuring YoungBoy Never Broke Again
Six Feet Apart,Luke Combs
Viral Moment,Lil Durk
Homemade,Jake Owen
Time Flies,Drake
Slow Dance In A Parking Lot,Jordan Davis
You Should Be Sad,Halsey
Demons,Drake Featuring Fivio Foreign & Sosa Geek
Not You Too,Drake Featuring Chris Brown
Deep Pockets,Drake
When To Say When,Drake
Landed,Drake
From Florida With Love,Drake
Losses,Drake
War,Drake
Social Distancing,Lil Baby
Slide,H.E.R. Featuring YG
Low Down,Lil Baby
Humble,Lil Baby
Heatin Up,Lil Baby & Gunna
Come Thru,Summer Walker & Usher
Find My Way,DaBaby
Roxanne,Arizona Zervas
Heartless,The Weeknd
HIGHEST IN THE ROOM,Travis Scott
"10,000 Hours",Dan + Shay & Justin Bieber
Goosebumps,Travis Scott
Sasuke,Lil Uzi Vert
Ain't Easy,YoungBoy Never Broke Again
Diamonds,YoungBoy Never Broke Again
Myron,Lil Uzi Vert
Captain Hook,Megan Thee Stallion
Bout My Business,YoungBoy Never Broke Again Featuring Sherhonda Gaulden
Rough Ryder,YoungBoy Never Broke Again
Underdog,Alicia Keys
NASTY,DaBaby Featuring Ashanti & Megan Thee Stallion
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert"
Thug Of Spades,YoungBoy Never Broke Again Featuring DaBaby
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow"
@ MEH,Playboi Carti
BOP,DaBaby
PICK UP,DaBaby Featuring Quavo
No Guidance,Chris Brown Featuring Drake
LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade
BEST ON EARTH,Russ & BIA
CAN'T STOP,DaBaby
BLAME IT ON BABY,DaBaby
SAD SHIT,DaBaby
Tusa,Karol G & Nicki Minaj
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track
TALK ABOUT IT,DaBaby
CHAMPION,DaBaby
I Dare You,Kelly Clarkson
Broke In A Minute,Tory Lanez
Suicidal,YNW Melly & Juice WRLD
Stupid Again,Tory Lanez
Boyfriend,Selena Gomez
The Other Side,SZA X Justin Timberlake
What She Wants Tonight,Luke Bryan
DND,Polo G
Ridin' Roads,Dustin Lynch
The Man,Taylor Swift
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby"
P2,Lil Uzi Vert
Yummy,Justin Bieber
B.I.T.C.H.,Megan Thee Stallion
Boss Bitch,Doja Cat
Homesick,Kane Brown
Fuck The World,Rod Wave
Pray 4 Love,Rod Wave
Thief In The Night,Rod Wave
Tycoon,Future
I Remember,Rod Wave
The Greatest,Rod Wave
Ribbon In The Sky,Rod Wave
Last Time I Say Sorry,Kane Brown & John Legend
After Hours,The Weeknd
Thug Life,Rod Wave
What A Man Gotta Do,Jonas Brothers
No Weakness,Rod Wave
Woah,Lil Baby
Know Your Worth,Khalid x Disclosure
Physical,Dua Lipa
Make No Sense,YoungBoy Never Broke Again
La Dificil,Bad Bunny
Si Veo A Tu Mama,Bad Bunny
Vete,Bad Bunny
Baby Pluto,Lil Uzi Vert
Into The Unknown,Idina Menzel & AURORA
Alone Again,The Weeknd
Scared To Live,The Weeknd
Hardest To Love,The Weeknd
Too Late,The Weeknd
Snowchild,The Weeknd
Escape From LA,The Weeknd
Faith,The Weeknd
Lose You To Love Me,Selena Gomez
homecoming queen?,Kelsea Ballerini
Repeat After Me (Interlude),The Weeknd
Until I Bleed Out,The Weeknd
To Die For,Sam Smith
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef
Lo Mein,Lil Uzi Vert
Yessirskiii,Lil Uzi Vert & 21 Savage
The Other Girl,Kelsea Ballerini x Halsey
Good As Hell,Lizzo
Lotus,Lil Uzi Vert
Silly Watch,Lil Uzi Vert
Wassup,Lil Uzi Vert Featuring Future
Strawberry Peels,Lil Uzi Vert Featuring Young Thug & Gunna
Moon Relate,Lil Uzi Vert
I Can Show You,Lil Uzi Vert
We Back,Jason Aldean
Trap This Way (This Way),Lil Uzi Vert
I Wish Grandpas Never Died,Riley Green
Leaders,Lil Uzi Vert Featuring NAV
No Auto,Lil Uzi Vert Featuring Lil Durk
Homecoming,Lil Uzi Vert
Come This Way,Lil Uzi Vert
Got The Guap,Lil Uzi Vert Featuring Young Thug
Money Spread,Lil Uzi Vert Featuring Young Nudy
Cardigan,Don Toliver
Futsal Shuffle 2020,Lil Uzi Vert
Prices,Lil Uzi Vert
POP,Lil Uzi Vert
Bigger Than Life,Lil Uzi Vert
Celebration Station,Lil Uzi Vert
You Better Move,Lil Uzi Vert
I'm Sorry,Lil Uzi Vert
Venetia,Lil Uzi Vert
Chrome Heart Tags,Lil Uzi Vert
Bust Me,Lil Uzi Vert
Happiness Over Everything (H.O.E.),Jhene Aiko Featuring Future & Miguel
Commercial,Lil Baby Featuring Lil Uzi Vert
Juicy,Doja Cat & Tyga
Secure The Bag,Lil Uzi Vert
Ignorantes,Bad Bunny & Sech
Triggered,Jhene Aiko
La Santa,Bad Bunny X Daddy Yankee
None Of Your Concern,Jhene Aiko Featuring Big Sean
SUGAR,BrockHampton
Live Off My Closet,Lil Baby Featuring Future
Senorita,Shawn Mendes & Camila Cabello
Bad Guy,Billie Eilish
Kinfolks,Sam Hunt
One Man Band,Old Dominion
Get Ugly,Lil Baby
No Sucker,Lil Baby & Moneybagg Yo
How,Lil Baby
Pero Ya No,Bad Bunny
Forever,Lil Baby Featuring Lil Wayne
ON,BTS
Lil Top,YoungBoy Never Broke Again
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track"
Same Thing,Lil Baby
Make Me Want To,Jimmie Allen
Bichiyal,Bad Bunny & Yaviah
We Should,Lil Baby & Young Thug
Solia,Bad Bunny
No Time To Die,Billie Eilish
Esta Cabron Ser Yo,Bad Bunny X Anuel AA
Can't Explain,Lil Baby
Trampoline,SHAED
Sucker,Jonas Brothers
I Don't Care,Ed Sheeran & Justin Bieber
Red Eye,YoungBoy Never Broke Again
Only Human,Jonas Brothers
Fine By Time,YoungBoy Never Broke Again
Bad Bad,YoungBoy Never Broke Again
Knocked Off,YoungBoy Never Broke Again
Forever,Justin Bieber Featuring Post Malone & Clever
Dive Bar,Garth Brooks & Blake Shelton
RIP Lil Phat,YoungBoy Never Broke Again
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo
My Time,BTS
Long RD,YoungBoy Never Broke Again
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
Filter,BTS
Bat Man,YoungBoy Never Broke Again
Shake The Room,Pop Smoke Featuring Quavo
Rare,Selena Gomez
Me And My Guitar,A Boogie Wit da Hoodie
Feel Me,Selena Gomez
Truth Hurts,Lizzo
g n f (Give No Fxk),"Migos, Young Thug & Travis Scott"
Bandit,Juice WRLD & YoungBoy Never Broke Again
Might Not Give Up,A Boogie Wit da Hoodie Featuring Young Thug
Thug Love,A Boogie Wit da Hoodie
Stain,A Boogie Wit da Hoodie Featuring DaBaby
Yikes,Nicki Minaj
Come Around Me,Justin Bieber
King Of My City,A Boogie Wit da Hoodie
Cinderella Story,A Boogie Wit da Hoodie
Habitual,Justin Bieber
All Around Me,Justin Bieber
Hot,Young Thug Featuring Gunna
Even Though I'm Leaving,Luke Combs
Heartache Medication,Jon Pardi
I Do It,Lil Wayne Featuring Big Sean & Lil Baby
VIBEZ,DaBaby
Run,Joji
Rodeo,Lil Nas X & Cardi B Or Nas
KEII,Anuel AA
No Idea,Don Toliver
Believe,Meek Mill Featuring Justin Timberlake
Start Wit Me,Roddy Ricch & Gunna
No Judgement,Niall Horan
Jerry Sprunger,Tory Lanez & T-Pain
ORANGE SODA,Baby Keem
Only The Young,Taylor Swift
Anyone,Demi Lovato
Mahogany,Lil Wayne
Letter To Nipsey,Meek Mill Featuring Roddy Ricch
Good News,Mac Miller
Mama Mia,Lil Wayne
Funeral,Lil Wayne
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj
Get Me,Justin Bieber Featuring Kehlani
U Played,MoneyBagg Yo Featuring Lil Baby
Camelot,NLE Choppa
Panini,Lil Nas X
Graveyard,Halsey
Blue World,Mac Miller
Those Kinda Nights,Eminem Featuring Ed Sheeran
Darkness,Eminem
First Man,Camila Cabello
What If I Told You That I Love You,Ali Gatie
Unaccommodating,Eminem Featuring Young M.A
Circles,Mac Miller
Black Swan,BTS
 nah,
 yeah, yeah
 film it now,
 yeah, yeah
Complicated,Mac Miller
Hand Me Downs,Mac Miller
Premonition (Intro),Eminem
I Can See,Mac Miller
In Too Deep,Eminem
Woods,Mac Miller
Everybody,Mac Miller
Marsh,Eminem
Lock It Up,Eminem Featuring Anderson .Paak
Surf,Mac Miller
Stepdad,Eminem
That's On Me,Mac Miller
On Chill,Wale Featuring Jeremih
Talk,Khalid
What If I Never Get Over You,Lady Antebellum
Lover,Taylor Swift
Playing Games,Summer Walker
Heat,Chris Brown Featuring Gunna
Remember You Young,Thomas Rhett
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
Eleven,Khalid
All Dat,Moneybagg Yo X Megan Thee Stallion
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
Conversations In The Dark,John Legend
Protect da Brand,Moneybagg Yo Featuring DaBaby
Look At Her Now.,Selena Gomez
Nice To Meet Ya,Niall Horan
Peta,Roddy Ricch Featuring Meek Mill
223's,YNW Melly & 9lokknine
All I Want,Olivia Rodrigo
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Suge,DaBaby
GANG GANG,JACKBOYS & Sheck Wes
20/20,Lil Tjay
WHAT TO DO?,JACKBOYS Featuring Don Toliver
Ran$om,Lil Tecca
Baby,Lil Baby & DaBaby
GATTI,"JACKBOYS, Pop Smoke & Travis Scott"
Slow Dancing In The Dark,Joji
Death,Trippie Redd Featuring DaBaby
Yellow Hearts,Ant Saunders
Let Me Know (I Wonder Why Freestyle),Juice WRLD
Loco Contigo,"DJ Snake, J. Balvin & Tyga"
Candy,Doja Cat
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin"
Jingle Bells,Frank Sinatra
Like It's Christmas,Jonas Brothers
Baby It's Cold Outside,Dean Martin
Happy Xmas (War Is Over),John Legend
Hate Me,Ellie Goulding & Juice WRLD
Baby Sitter,DaBaby Featuring Offset
Lucid Dreams,Juice WRLD
Falling,Harry Styles
Lights Up,Harry Styles
Dirty Iyanna,YoungBoy Never Broke Again
Famous Hoes,NLE Choppa
Cherry,Harry Styles
Prayed For You,Matt Stell
She,Harry Styles
6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly
Legends,Juice WRLD
Robbery,Juice WRLD
Christmas Tree Farm,Taylor Swift
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd
Empty,Juice WRLD
Show Yourself,Idina Menzel & Evan Rachel Wood
We Were,Keith Urban
Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige
Big Stepper,Roddy Ricch
Cuban Links,Rod Wave & Kevin Gates
How Do You Sleep?,Sam Smith
Time,NF
All The Good Girls Go To Hell,Billie Eilish
Who Needs Love,Trippie Redd
Follow God,Kanye West
F.N,Lil Tjay
Into The Unknown,Panic! At The Disco
La Cancion,J Balvin & Bad Bunny
Goodbyes,Post Malone Featuring Young Thug
One Thing Right,Marshmello & Kane Brown
Love Me More,Trippie Redd
Lalala,Y2K & bbno$
Hate Me,Trippie Redd Featuring YoungBoy Never Broke Again
Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert
Tip Of My Tongue,Kenny Chesney
Good Vibes,Chris Janson
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
Lonely Child,YoungBoy Never Broke Again
Money In The Grave,Drake Featuring Rick Ross
Dancing With A Stranger,Sam Smith & Normani
The Take,Tory Lanez Featuring Chris Brown
Liar,Camila Cabello
Every Little Thing,Russell Dickerson
I Don't Know About You,Chris Lane
Stuck In A Dream,Lil Mosey x Gunna
Beauty In The Benz,Tory Lanez Featuring Snoop Dogg
Up All Night,Khalid
Self Control,YoungBoy Never Broke Again
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby
Hell Right,Blake Shelton Featuring Trace Adkins
My Type,Saweetie
It All Comes Out In The Wash,Miranda Lambert
Hot Now,YoungBoy Never Broke Again
Show Me Love,Alicia Keys Featuring Miguel
Valentino,24kGoldn
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell
Living,Dierks Bentley
Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie"
Immortal,21 Savage
You Need To Calm Down,Taylor Swift
Cash Shit,Megan Thee Stallion Featuring DaBaby
Closed On Sunday,Kanye West
In My Room,Frank Ocean
Love You Too Late,Cole Swindell
For My Daughter,Kane Brown
Selah,Kanye West
On God,Kanye West
Higher Love,Kygo X Whitney Houston
Big Boy Diamonds,Gucci Mane Featuring Kodak Black & London On Da Track
God Is,Kanye West
Use This Gospel,Kanye West Featuring Clipse & Kenny G
Water,Kanye West Featuring Ant Clemons
Jesus Is Lord,Kanye West
INTRO,DaBaby
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey"
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Wow.,Post Malone
The Git Up,Blanco Brown
Motivation,Normani
Make It Right,BTS Featuring Lauv
Rich As Hell,YoungBoy Never Broke Again
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA"
In Control,YoungBoy Never Broke Again
Callaita,Bad Bunny & Tainy
Carter Son,YoungBoy Never Broke Again
I'll Kill You,Summer Walker Featuring Jhene Aiko
DHL,Frank Ocean
Boyfriend,Ariana Grande & Social House
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage
Time I'm On,YoungBoy Never Broke Again
Saint-Tropez,Post Malone
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian"
Hollywood's Bleeding,Post Malone
Bad Bad Bad,Young Thug Featuring Lil Baby
If I Can't Have You,Shawn Mendes
The London,"Young Thug, J. Cole & Travis Scott"
Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie
Body,Summer Walker
Drunk Dialing...LODT,Summer Walker
Over It,Summer Walker
Southbound,Carrie Underwood
RAW SHIT,DaBaby Featuring Migos
Potential,Summer Walker
Right Back,Khalid Featuring A Boogie Wit da Hoodie
POP STAR,DaBaby Featuring Kevin Gates
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny"
Without Me,Halsey
iPHONE,DaBaby & Nicki Minaj
OFF THE RIP,DaBaby
GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris"
REALLY,DaBaby Featuring Stunna 4 Vegas
XXL,DaBaby
PROLLY HEARD,DaBaby
Chicken Noodle Soup,j-hope Featuring Becky G.
By My Lonely,Kevin Gates
There He Go,DaBaby
The Ones That Didn't Make It Back Home,Justin Moore
Adicto,"Tainy, Anuel AA & Ozuna"
Did It Again,Lil Tecca
Pop Out,Polo G Featuring Lil Tjay
Beer Never Broke My Heart,Luke Combs
Speechless,Dan + Shay
Knockin' Boots,Luke Bryan
Behind Barz,Drake
A Thousand Bad Times,Post Malone
It's You,Ali Gatie
Slide Away,Miley Cyrus
Shameless,Camila Cabello
Queen Of Mean,Sarah Jeffery
Rearview Town,Jason Aldean
Staring At The Sun,Post Malone Featuring SZA
I'm Gonna Be,Post Malone
Mood Swings,A Boogie Wit da Hoodie
All To Myself,Dan + Shay
Allergic,Post Malone
Press,Cardi B
"1, 2 Many",Luke Combs & Brooks & Dunn
"Hey Look Ma, I Made It",Panic! At The Disco
Myself,Post Malone
I Know,Post Malone
Internet,Post Malone
Buy My Own Drinks,Runaway June
Easier,5 Seconds Of Summer
