,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,"[{'label': 'NEU', 'score': 0.9557213187217712}]","[{'label': 'NEU', 'score': 0.7546712756156921}]","[{'label': 'NEU', 'score': 0.9689658880233765}]","[{'label': 'NEU', 'score': 0.8288568258285522}]","[{'label': 'NEG', 'score': 0.7500380277633667}]","[{'label': 'NEU', 'score': 0.9534533023834229}]","[{'label': 'NEU', 'score': 0.9648308753967285}]","[{'label': 'NEU', 'score': 0.9359905123710632}]","[{'label': 'NEU', 'score': 0.9432581663131714}]","[{'label': 'NEU', 'score': 0.9510543942451477}]","[{'label': 'NEU', 'score': 0.9593712687492371}]","[{'label': 'NEU', 'score': 0.9167512655258179}]","[{'label': 'NEU', 'score': 0.959641695022583}]","[{'label': 'NEU', 'score': 0.7545067071914673}]","[{'label': 'NEU', 'score': 0.9208123683929443}]","[{'label': 'NEU', 'score': 0.943686306476593}]","[{'label': 'NEU', 'score': 0.8900896310806274}]","[{'label': 'NEU', 'score': 0.9414693713188171}]","[{'label': 'NEU', 'score': 0.943434476852417}]","[{'label': 'NEU', 'score': 0.919174075126648}]","[{'label': 'NEU', 'score': 0.9422097206115723}]","[{'label': 'NEU', 'score': 0.9217218160629272}]","[{'label': 'NEU', 'score': 0.9505902528762817}]","[{'label': 'NEU', 'score': 0.9429609775543213}]","[{'label': 'NEU', 'score': 0.94287109375}]",
11,"[{'label': 'NEU', 'score': 0.9047580361366272}]","[{'label': 'NEU', 'score': 0.9583210945129395}]","[{'label': 'NEU', 'score': 0.9177064895629883}]","[{'label': 'NEU', 'score': 0.9611631631851196}]","[{'label': 'NEU', 'score': 0.8781232833862305}]","[{'label': 'NEU', 'score': 0.9490947127342224}]","[{'label': 'NEU', 'score': 0.8359332084655762}]","[{'label': 'NEU', 'score': 0.9641200304031372}]","[{'label': 'NEU', 'score': 0.9291517734527588}]","[{'label': 'NEU', 'score': 0.9445810317993164}]","[{'label': 'NEU', 'score': 0.9044167995452881}]","[{'label': 'NEU', 'score': 0.9546341300010681}]","[{'label': 'NEU', 'score': 0.8713849186897278}]","[{'label': 'NEU', 'score': 0.9680697321891785}]","[{'label': 'NEU', 'score': 0.9510543942451477}]","[{'label': 'NEU', 'score': 0.7792807221412659}]","[{'label': 'NEU', 'score': 0.7998145222663879}]","[{'label': 'NEU', 'score': 0.9519599080085754}]","[{'label': 'NEU', 'score': 0.939615786075592}]","[{'label': 'NEU', 'score': 0.9301491975784302}]","[{'label': 'NEU', 'score': 0.9414693713188171}]","[{'label': 'NEU', 'score': 0.9486114382743835}]","[{'label': 'NEU', 'score': 0.8635450601577759}]","[{'label': 'NEU', 'score': 0.9199844002723694}]","[{'label': 'NEU', 'score': 0.9204906225204468}]",
12,"[{'label': 'NEG', 'score': 0.7024379968643188}]","[{'label': 'NEU', 'score': 0.9315009117126465}]","[{'label': 'NEU', 'score': 0.9215254187583923}]","[{'label': 'NEU', 'score': 0.6959125399589539}]","[{'label': 'NEU', 'score': 0.7693030834197998}]","[{'label': 'NEU', 'score': 0.9379518628120422}]","[{'label': 'NEU', 'score': 0.9203185439109802}]","[{'label': 'NEU', 'score': 0.9383129477500916}]","[{'label': 'NEU', 'score': 0.9253601431846619}]","[{'label': 'NEU', 'score': 0.9561864137649536}]","[{'label': 'NEU', 'score': 0.8849033117294312}]",,,,,,,,,,,,,,,
13,"[{'label': 'NEU', 'score': 0.9439119696617126}]","[{'label': 'NEU', 'score': 0.9607511162757874}]","[{'label': 'POS', 'score': 0.5245643854141235}]","[{'label': 'NEU', 'score': 0.8965056538581848}]","[{'label': 'NEU', 'score': 0.9315819144248962}]","[{'label': 'NEU', 'score': 0.5261108875274658}]","[{'label': 'NEU', 'score': 0.9633068442344666}]","[{'label': 'NEU', 'score': 0.5264697074890137}]","[{'label': 'NEU', 'score': 0.9145615100860596}]","[{'label': 'NEU', 'score': 0.7927148342132568}]","[{'label': 'NEU', 'score': 0.9492725133895874}]","[{'label': 'NEU', 'score': 0.5571898221969604}]","[{'label': 'NEU', 'score': 0.958608090877533}]","[{'label': 'NEU', 'score': 0.645983874797821}]","[{'label': 'NEU', 'score': 0.9458732008934021}]","[{'label': 'NEU', 'score': 0.6317669749259949}]","[{'label': 'NEU', 'score': 0.8936200737953186}]","[{'label': 'NEU', 'score': 0.9383129477500916}]","[{'label': 'NEU', 'score': 0.9340000152587891}]","[{'label': 'NEU', 'score': 0.9315009117126465}]","[{'label': 'NEU', 'score': 0.9341989755630493}]","[{'label': 'NEU', 'score': 0.9253601431846619}]","[{'label': 'NEU', 'score': 0.9534533023834229}]","[{'label': 'NEU', 'score': 0.9318876266479492}]","[{'label': 'NEU', 'score': 0.9351848363876343}]",
14,"[{'label': 'NEU', 'score': 0.9451298713684082}]","[{'label': 'NEU', 'score': 0.8888510465621948}]","[{'label': 'NEU', 'score': 0.9056214094161987}]","[{'label': 'NEU', 'score': 0.9128910899162292}]","[{'label': 'NEU', 'score': 0.9499431848526001}]","[{'label': 'NEU', 'score': 0.8710929751396179}]","[{'label': 'NEU', 'score': 0.8836753368377686}]","[{'label': 'NEG', 'score': 0.8935943245887756}]","[{'label': 'POS', 'score': 0.6056087017059326}]","[{'label': 'NEU', 'score': 0.90687096118927}]","[{'label': 'NEU', 'score': 0.8769968152046204}]","[{'label': 'NEU', 'score': 0.872318685054779}]","[{'label': 'NEU', 'score': 0.9174802303314209}]","[{'label': 'NEU', 'score': 0.8771995902061462}]","[{'label': 'NEU', 'score': 0.9587264060974121}]","[{'label': 'NEU', 'score': 0.9447250962257385}]","[{'label': 'NEU', 'score': 0.9247109889984131}]","[{'label': 'NEU', 'score': 0.8734444975852966}]","[{'label': 'NEU', 'score': 0.9458732008934021}]","[{'label': 'NEU', 'score': 0.9499357342720032}]","[{'label': 'NEU', 'score': 0.931498110294342}]","[{'label': 'NEU', 'score': 0.9221405982971191}]","[{'label': 'NEU', 'score': 0.9439119696617126}]","[{'label': 'NEU', 'score': 0.9607511162757874}]","[{'label': 'NEU', 'score': 0.9384207725524902}]",
15,"[{'label': 'NEU', 'score': 0.9294507503509521}]","[{'label': 'NEU', 'score': 0.9266554713249207}]","[{'label': 'NEU', 'score': 0.6627017855644226}]","[{'label': 'NEU', 'score': 0.9031874537467957}]","[{'label': 'NEU', 'score': 0.957360029220581}]","[{'label': 'POS', 'score': 0.9901331663131714}]","[{'label': 'NEU', 'score': 0.9050052762031555}]","[{'label': 'POS', 'score': 0.9835518002510071}]","[{'label': 'NEU', 'score': 0.954353392124176}]","[{'label': 'NEU', 'score': 0.906558632850647}]","[{'label': 'NEU', 'score': 0.9116351008415222}]","[{'label': 'NEU', 'score': 0.9422147870063782}]","[{'label': 'NEU', 'score': 0.9576520919799805}]","[{'label': 'NEU', 'score': 0.8756768107414246}]","[{'label': 'NEU', 'score': 0.8728345036506653}]","[{'label': 'NEU', 'score': 0.960322380065918}]","[{'label': 'NEU', 'score': 0.9413381814956665}]","[{'label': 'NEU', 'score': 0.9126904010772705}]","[{'label': 'NEG', 'score': 0.6914333701133728}]","[{'label': 'NEU', 'score': 0.8734444975852966}]","[{'label': 'NEU', 'score': 0.6089251041412354}]","[{'label': 'NEU', 'score': 0.9034148454666138}]","[{'label': 'NEU', 'score': 0.8017691373825073}]","[{'label': 'NEU', 'score': 0.939309298992157}]","[{'label': 'NEU', 'score': 0.929106593132019}]",
16,"[{'label': 'NEU', 'score': 0.9044955968856812}]","[{'label': 'NEU', 'score': 0.9576520919799805}]","[{'label': 'NEU', 'score': 0.8011151552200317}]","[{'label': 'NEU', 'score': 0.9345780611038208}]","[{'label': 'NEU', 'score': 0.9452081322669983}]","[{'label': 'NEU', 'score': 0.9297053813934326}]","[{'label': 'NEU', 'score': 0.7059020400047302}]","[{'label': 'NEU', 'score': 0.9302278757095337}]","[{'label': 'NEU', 'score': 0.9455889463424683}]","[{'label': 'POS', 'score': 0.7284534573554993}]","[{'label': 'NEU', 'score': 0.9384476542472839}]","[{'label': 'NEU', 'score': 0.7409042716026306}]","[{'label': 'NEU', 'score': 0.8513426184654236}]","[{'label': 'NEU', 'score': 0.9441960453987122}]","[{'label': 'NEU', 'score': 0.9465294480323792}]","[{'label': 'NEU', 'score': 0.7208696603775024}]","[{'label': 'NEU', 'score': 0.7224293947219849}]","[{'label': 'NEU', 'score': 0.8848544955253601}]","[{'label': 'NEU', 'score': 0.9456667900085449}]","[{'label': 'NEU', 'score': 0.9407587051391602}]","[{'label': 'NEU', 'score': 0.645983874797821}]","[{'label': 'NEU', 'score': 0.8620497584342957}]","[{'label': 'NEU', 'score': 0.8777848482131958}]","[{'label': 'NEU', 'score': 0.8983285427093506}]","[{'label': 'NEU', 'score': 0.8823124766349792}]",
17,"[{'label': 'NEU', 'score': 0.8683756589889526}]","[{'label': 'NEG', 'score': 0.8182700276374817}]","[{'label': 'NEU', 'score': 0.9601618647575378}]","[{'label': 'NEU', 'score': 0.9409786462783813}]","[{'label': 'NEU', 'score': 0.9456667900085449}]","[{'label': 'NEU', 'score': 0.9268911480903625}]","[{'label': 'NEU', 'score': 0.920939028263092}]","[{'label': 'NEU', 'score': 0.89634108543396}]","[{'label': 'NEU', 'score': 0.9481447339057922}]","[{'label': 'NEU', 'score': 0.8983285427093506}]","[{'label': 'NEU', 'score': 0.9392971396446228}]","[{'label': 'NEU', 'score': 0.9477053284645081}]","[{'label': 'NEU', 'score': 0.8944606781005859}]","[{'label': 'NEU', 'score': 0.9460210800170898}]","[{'label': 'NEU', 'score': 0.6285511255264282}]","[{'label': 'NEU', 'score': 0.9046236872673035}]","[{'label': 'NEU', 'score': 0.9429609775543213}]","[{'label': 'NEU', 'score': 0.7208696603775024}]","[{'label': 'NEU', 'score': 0.8786068558692932}]","[{'label': 'NEU', 'score': 0.8783124685287476}]","[{'label': 'NEU', 'score': 0.9379518628120422}]","[{'label': 'NEU', 'score': 0.8793376088142395}]","[{'label': 'POS', 'score': 0.5216764807701111}]","[{'label': 'NEU', 'score': 0.8383270502090454}]",,
18,"[{'label': 'NEU', 'score': 0.9390587210655212}]","[{'label': 'NEU', 'score': 0.9572141170501709}]","[{'label': 'NEU', 'score': 0.9272419810295105}]","[{'label': 'NEU', 'score': 0.9617065191268921}]","[{'label': 'NEU', 'score': 0.9414991736412048}]","[{'label': 'NEU', 'score': 0.9569908976554871}]","[{'label': 'NEU', 'score': 0.9302278757095337}]","[{'label': 'NEU', 'score': 0.9389581680297852}]","[{'label': 'NEU', 'score': 0.9423829913139343}]","[{'label': 'NEU', 'score': 0.9625558853149414}]","[{'label': 'NEU', 'score': 0.9511913657188416}]","[{'label': 'NEU', 'score': 0.9255512356758118}]","[{'label': 'POS', 'score': 0.5216764807701111}]","[{'label': 'NEU', 'score': 0.8601422905921936}]","[{'label': 'NEU', 'score': 0.8620497584342957}]","[{'label': 'NEU', 'score': 0.9392759799957275}]","[{'label': 'NEU', 'score': 0.8522684574127197}]","[{'label': 'NEU', 'score': 0.8496435284614563}]","[{'label': 'POS', 'score': 0.5981806516647339}]","[{'label': 'NEU', 'score': 0.953602135181427}]","[{'label': 'NEU', 'score': 0.9125865697860718}]","[{'label': 'NEU', 'score': 0.5264697074890137}]","[{'label': 'NEU', 'score': 0.9057527184486389}]","[{'label': 'NEU', 'score': 0.9394877552986145}]","[{'label': 'NEU', 'score': 0.9295920729637146}]",
19,"[{'label': 'POS', 'score': 0.9917261600494385}]","[{'label': 'NEU', 'score': 0.9048581719398499}]","[{'label': 'POS', 'score': 0.9908995628356934}]","[{'label': 'NEU', 'score': 0.8691878318786621}]","[{'label': 'NEU', 'score': 0.939309298992157}]","[{'label': 'NEU', 'score': 0.929502546787262}]","[{'label': 'NEU', 'score': 0.862044632434845}]","[{'label': 'NEU', 'score': 0.9014416933059692}]","[{'label': 'NEU', 'score': 0.9228336811065674}]","[{'label': 'NEU', 'score': 0.9562959671020508}]","[{'label': 'NEU', 'score': 0.8859206438064575}]","[{'label': 'NEU', 'score': 0.9043572545051575}]","[{'label': 'NEU', 'score': 0.9469218254089355}]","[{'label': 'NEU', 'score': 0.8522684574127197}]","[{'label': 'NEU', 'score': 0.891776978969574}]","[{'label': 'NEU', 'score': 0.9067893028259277}]","[{'label': 'POS', 'score': 0.5981806516647339}]","[{'label': 'NEU', 'score': 0.9275762438774109}]","[{'label': 'NEU', 'score': 0.8209587335586548}]","[{'label': 'NEU', 'score': 0.9384207725524902}]","[{'label': 'NEU', 'score': 0.9417670369148254}]","[{'label': 'NEU', 'score': 0.8910521268844604}]","[{'label': 'NEU', 'score': 0.9285968542098999}]","[{'label': 'NEU', 'score': 0.5283579230308533}]","[{'label': 'NEG', 'score': 0.5405464768409729}]",
20,"[{'label': 'NEU', 'score': 0.9339067339897156}]","[{'label': 'POS', 'score': 0.5835500359535217}]","[{'label': 'NEU', 'score': 0.9130725264549255}]","[{'label': 'NEU', 'score': 0.9239228963851929}]","[{'label': 'NEU', 'score': 0.9338739514350891}]","[{'label': 'NEU', 'score': 0.8124141097068787}]","[{'label': 'NEU', 'score': 0.7660054564476013}]","[{'label': 'NEU', 'score': 0.9485883712768555}]","[{'label': 'NEU', 'score': 0.879793643951416}]","[{'label': 'NEU', 'score': 0.879793643951416}]","[{'label': 'NEU', 'score': 0.9541295766830444}]","[{'label': 'NEU', 'score': 0.9302613735198975}]","[{'label': 'NEU', 'score': 0.9167193174362183}]","[{'label': 'NEU', 'score': 0.9387862682342529}]","[{'label': 'NEU', 'score': 0.8889508843421936}]","[{'label': 'NEG', 'score': 0.7939973473548889}]","[{'label': 'NEU', 'score': 0.9004977941513062}]","[{'label': 'NEU', 'score': 0.9506539106369019}]","[{'label': 'NEU', 'score': 0.9301098585128784}]","[{'label': 'NEU', 'score': 0.9051837921142578}]","[{'label': 'NEU', 'score': 0.8601422905921936}]","[{'label': 'NEU', 'score': 0.9197097420692444}]","[{'label': 'NEU', 'score': 0.8746691346168518}]","[{'label': 'NEU', 'score': 0.8209587335586548}]","[{'label': 'NEU', 'score': 0.9597318172454834}]","[{'label': 'NEU', 'score': 0.9365947246551514}]"
