song,artist,counter
Tip Of My Tongue,Kenny Chesney,"{'long': 9, 'slow': 2, 'believe': 1}"
Good Vibes,Chris Janson,"{'breathe': 4, 'live': 3, 'shut': 1, 'hear': 1}"
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign","{'hot': 20, 'big': 4, 'juicy': 1, 'shut': 1, 'tame': 1, 'send': 1, 'hotter': 1, 'follow': 1, 'new': 1, 'proud': 1, 'ooh': 1, 'eat': 1}"
Lonely Child,YoungBoy Never Broke Again,"{'seem': 3, 'hard': 3, 'hear': 2, 'heartless': 2, 'pray': 2, 'understand': 1, 'expect': 1, 'sorry': 1, 'breathe': 1, 'harder': 1, 'strong': 1, 'long': 1}"
Money In The Grave,Drake Featuring Rick Ross,"{'big': 4, 'bury': 2, 'loud': 2, 'meant': 1, 'scared': 1, 'modest': 1}"
Dancing With A Stranger,Sam Smith & Normani,"{'ooh': 9, 'new': 6, 'strange': 1}"
The Take,Tory Lanez Featuring Chris Brown,"{'ooh': 6, 'tight': 1, 'different': 1, 'hard': 1, 'big': 1, 'hotter': 1, 'hear': 1}"
Liar,Camila Cabello,"{'ooh': 5, 'beg': 3, 'believe': 3, 'happen': 2, 'lose': 2, 'long': 1, 'slow': 1}"
Every Little Thing,Russell Dickerson,"{'hung': 3, 'slow': 1, 'forgets': 1, 'easy': 1}"
I Don't Know About You,Chris Lane,"{'sit': 1, 'flee': 1}"
Stuck In A Dream,Lil Mosey x Gunna,"{'pour': 3, 'stuck': 3, 'new': 3, 'got': 1, 'listen': 1}"
Beauty In The Benz,Tory Lanez Featuring Snoop Dogg,"{'thank': 16, 'beautiful': 8, 'tempt': 1, 'different': 1, 'remember': 1, 'send': 1, 'hear': 1, 'observe': 1, 'hard': 1, 'up': 1, 'big': 1, 'spend': 1, 'manage': 1, 'humble': 1}"
Up All Night,Khalid,"{'alive': 2, 'ask': 1, 'thankful': 1}"
Self Control,YoungBoy Never Broke Again,"{'lose': 4, 'dangerous': 4, 'easy': 1, 'got': 1, 'excite': 1, 'fresh': 1, 'tight': 1, 'grow': 1}"
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,"{'ooh': 39, 'hot': 14, 'big': 3, 'new': 3, 'hear': 2, 'meant': 1, 'shatter': 1, 'flatter': 1, 'unplug': 1, 'sit': 1, 'argue': 1, 'proper': 1, 'off': 1, 'spend': 1, 'eat': 1, 'got': 1, 'consider': 1, 'loving': 1, 'except': 1}"
Hell Right,Blake Shelton Featuring Trace Adkins,{'thank': 1}
My Type,Saweetie,"{'big': 7, 'ooh': 6, 'new': 4, 'please': 2, 'spend': 1, 'flown': 1}"
It All Comes Out In The Wash,Miranda Lambert,"{'stonewash': 1, 'bring': 1, 'pour': 1, 'bumpy': 1, 'knocked': 1, 'remember': 1, 'dirty': 1}"
Hot Now,YoungBoy Never Broke Again,"{'hot': 4, 'many': 3, 'insane': 2, 'broke': 1}"
Show Me Love,Alicia Keys Featuring Miguel,"{'eat': 3, 'wrapped': 3, 'ooh': 2, 'passionate': 1, 'bask': 1, 'tried': 1, 'deny': 1, 'apply': 1, 'remind': 1}"
Valentino,24kGoldn,"{'seem': 8, 'long': 1, 'hard': 1, 'live': 1, 'outer': 1}"
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,"{'happen': 6, 'happens': 2, 'belong': 1}"
Living,Dierks Bentley,"{'alive': 3, 'live': 3, 'beautiful': 2, 'forget': 2, 'walked': 1, 'drank': 1, 'lose': 1, 'grateful': 1}"
Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",{'big': 1}
Immortal,21 Savage,"{'hot': 2, 'many': 2, 'big': 1, 'new': 1, 'attach': 1, 'slid': 1, 'loyal': 1, 'fatal': 1, 'seem': 1, 'misguide': 1, 'learn': 1, 'popped': 1, 'told': 1, 'heard': 1, 'froze': 1, 'bring': 1, 'up': 1, 'live': 1, 'send': 1, 'scared': 1}"
You Need To Calm Down,Taylor Swift,"{'loud': 4, 'learn': 1, 'restore': 1}"
Cash Shit,Megan Thee Stallion Featuring DaBaby,"{'new': 8, 'listen': 3, 'send': 3, 'hungry': 2, 'sit': 2, 'expensive': 2, 'hot': 1, 'offend': 1, 'nasty': 1, 'ooh': 1, 'sexy': 1, 'forget': 1, 'decide': 1, 'bring': 1}"
Closed On Sunday,Kanye West,"{'closed': 2, 'pray': 2, 'indoctrinate': 1, 'sure': 1, 'wide': 1, 'awake': 1, 'follow': 1, 'listen': 1, 'obey': 1, 'strengthen': 1, 'write': 1}"
In My Room,Frank Ocean,"{'violent': 4, 'new': 3, 'quit': 3, 'stingy': 1, 'soft': 1, 'ungrateful': 1, 'thank': 1, 'stuffed': 1, 'whop': 1, 'easy': 1, 'hot': 1}"
Love You Too Late,Cole Swindell,"{'wide': 12, 'late': 7, 'new': 3, 'pour': 1}"
For My Daughter,Kane Brown,"{'grow': 6, 'suppose': 2, 'sure': 2, 'slow': 1}"
Selah,Kanye West,"{'woo': 25, 'solar': 1, 'pour': 1, 'slow': 1, 'strong': 1, 'forgive': 1, 'pray': 1, 'loose': 1, 'become': 1, 'new': 1, 'write': 1}"
On God,Kanye West,"{'accept': 1, 'bright': 1, 'got': 1, 'new': 1, 'survive': 1, 'alive': 1, 'starve': 1, 'hard': 1}"
Higher Love,Kygo X Whitney Houston,"{'bring': 33, 'hidden': 1, 'yearn': 1}"
Big Boy Diamonds,Gucci Mane Featuring Kodak Black & London On Da Track,"{'big': 11, 'new': 3, 'dirty': 3, 'calculate': 1, 'remember': 1, 'late': 1, 'dealt': 1, 'hard': 1, 'sweeter': 1, 'spend': 1, 'forget': 1, 'ugly': 1, 'caught': 1, 'warm': 1, 'charming': 1}"
God Is,Kanye West,"{'forget': 1, 'sit': 1, 'heal': 1, 'listen': 1, 'sane': 1, 'alive': 1, 'bring': 1, 'forgiven': 1, 'thank': 1}"
Use This Gospel,Kanye West Featuring Clipse & Kenny G,"{'hard': 2, 'bless': 2, 'late': 2, 'happy': 1, 'appraise': 1, 'sing': 1, 'different': 1, 'grow': 1, 'lose': 1}"
Water,Kanye West Featuring Ant Clemons,"{'please': 5, 'pure': 3, 'reflect': 2, 'heal': 2, 'forgive': 1, 'reveal': 1, 'live': 1}"
Jesus Is Lord,Kanye West,{'confess': 2}
INTRO,DaBaby,"{'lose': 2, 'happy': 2, 'marry': 2, 'busy': 2, 'acknowledge': 1, 'send': 1, 'perform': 1, 'afford': 1, 'spent': 1, 'stood': 1, 'choose': 1, 'big': 1}"
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey","{'heard': 6, 'hear': 4, 'appreciate': 2, 'write': 1, 'successful': 1, 'shut': 1, 'live': 1}"
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,"{'ooh': 14, 'quits': 2, 'big': 1, 'lose': 1, 'easy': 1, 'hear': 1, 'scared': 1}"
Wow.,Post Malone,"{'big': 2, 'tired': 1, 'appear': 1, 'cared': 1, 'bored': 1}"
The Git Up,Blanco Brown,"{'woo': 10, 'bring': 7, 'loose': 1, 'comfortable': 1, 'follow': 1}"
Motivation,Normani,"{'ooh': 6, 'late': 1, 'woo': 1}"
Make It Right,BTS Featuring Lauv,"{'lose': 3, 'tight': 2, 'survive': 2, 'useless': 2, 'understood': 1, 'forget': 1, 'become': 1, 'loud': 1, 'sing': 1, 'wide': 1, 'recognize': 1, 'hear': 1, 'penetrate': 1, 'beautiful': 1, 'hesitate': 1, 'please': 1, 'wander': 1, 'tighter': 1}"
Rich As Hell,YoungBoy Never Broke Again,"{'bring': 4, 'late': 3, 'prefer': 3, 'ask': 3, 'loud': 3, 'big': 2, 'hard': 1, 'speak': 1, 'sure': 1, 'follow': 1, 'strong': 1}"
In Control,YoungBoy Never Broke Again,"{'hot': 3, 'big': 2, 'stank': 1, 'roam': 1, 'slept': 1, 'ugly': 1}"
Carter Son,YoungBoy Never Broke Again,"{'rob': 4, 'new': 2, 'owe': 1, 'live': 1, 'bring': 1}"
I'll Kill You,Summer Walker Featuring Jhene Aiko,"{'long': 10, 'please': 1, 'forgive': 1, 'stingy': 1, 'strong': 1, 'resist': 1, 'loosen': 1, 'foolish': 1, 'choose': 1, 'fired': 1}"
DHL,Frank Ocean,"{'new': 9, 'ooh': 5, 'got': 4, 'caught': 2, 'long': 1, 'forgave': 1, 'sit': 1, 'remind': 1, 'slow': 1, 'spend': 1, 'woo': 1}"
Boyfriend,Ariana Grande & Social House,"{'seem': 2, 'complicate': 2, 'allow': 1, 'smitten': 1, 'lose': 1, 'choose': 1, 'easy': 1, 'careful': 1, 'hard': 1}"
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,"{'hard': 4, 'expensive': 3, 'tempt': 3, 'eat': 1, 'pregnant': 1, 'rid': 1, 'weak': 1, 'certify': 1, 'toothless': 1, 'tight': 1, 'taught': 1}"
Time I'm On,YoungBoy Never Broke Again,"{'late': 3, 'understand': 3, 'dirty': 2, 'relax': 2, 'new': 2, 'loaded': 1, 'seem': 1, 'live': 1, 'sit': 1}"
Saint-Tropez,Post Malone,"{'long': 22, 'ooh': 9, 'new': 2, 'hard': 1, 'sorry': 1, 'understand': 1}"
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian","{'write': 6, 'bring': 6, 'ooh': 4, 'hot': 2, 'woo': 2, 'new': 1, 'spend': 1, 'serious': 1, 'shorter': 1, 'hard': 1, 'faster': 1, 'jell': 1, 'ask': 1, 'eat': 1}"
Hollywood's Bleeding,Post Malone,"{'ooh': 4, 'bleed': 1, 'seem': 1, 'sharpen': 1}"
Bad Bad Bad,Young Thug Featuring Lil Baby,"{'new': 4, 'eat': 3, 'on': 1, 'got': 1, 'hard': 1, 'warm': 1, 'foreign': 1, 'different': 1, 'decide': 1, 'choose': 1, 'many': 1, 'send': 1, 'bring': 1, 'speak': 1, 'terrify': 1}"
If I Can't Have You,Shawn Mendes,"{'write': 7, 'late': 7, 'admit': 2, 'forget': 2, 'consume': 1, 'sorry': 1, 'attach': 1}"
The London,"Young Thug, J. Cole & Travis Scott","{'knew': 6, 'undo': 3, 'send': 3, 'big': 2, 'woo': 2, 'circumnavigate': 1, 'grows': 1, 'grow': 1, 'sing': 1, 'hard': 1, 'hear': 1, 'bury': 1, 'observe': 1, 'flee': 1, 'ooh': 1, 'eat': 1, 'decide': 1}"
Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,"{'insecure': 1, 'bring': 1, 'heard': 1, 'please': 1, 'learn': 1}"
Body,Summer Walker,"{'late': 2, 'plead': 2, 'unfair': 1, 'long': 1}"
Drunk Dialing...LODT,Summer Walker,{'understand': 1}
Over It,Summer Walker,"{'ask': 2, 'got': 1, 'listen': 1, 'live': 1, 'numb': 1}"
Southbound,Carrie Underwood,"{'unwound': 3, 'loud': 3, 'long': 3, 'cheap': 1, 'slow': 1, 'woo': 1}"
RAW SHIT,DaBaby Featuring Migos,"{'sit': 5, 'hot': 3, 'eat': 2, 'woo': 2, 'swear': 1, 'excite': 1, 'send': 1, 'bring': 1, 'corporate': 1, 'walked': 1, 'ups': 1, 'fishtail': 1, 'added': 1}"
Potential,Summer Walker,"{'got': 6, 'sure': 1, 'caught': 1, 'intriguing': 1, 'long': 1}"
Right Back,Khalid Featuring A Boogie Wit da Hoodie,"{'bring': 29, 'mental': 2, 'ooh': 1, 'admit': 1, 'send': 1, 'fresh': 1, 'allows': 1, 'prove': 1, 'sit': 1, 'slow': 1}"
POP STAR,DaBaby Featuring Kevin Gates,"{'hot': 3, 'eat': 3, 'slow': 2, 'different': 1, 'sorry': 1, 'weigh': 1, 'penetrate': 1, 'new': 1, 'swear': 1}"
Without Me,Halsey,"{'live': 10, 'filled': 1, 'afraid': 1, 'ooh': 1}"
iPHONE,DaBaby & Nicki Minaj,"{'please': 3, 'correct': 1, 'ungrateful': 1, 'different': 1, 'told': 1, 'mislead': 1, 'honest': 1}"
OFF THE RIP,DaBaby,"{'big': 3, 'eat': 2, 'believe': 2, 'ooh': 2, 'new': 1, 'sing': 1, 'listen': 1, 'fucked': 1, 'rob': 1, 'many': 1, 'ask': 1, 'relate': 1, 'hot': 1, 'hard': 1, 'soft': 1}"
GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris","{'long': 9, 'lose': 8, 'tempt': 4, 'quit': 1, 'grown': 1, 'spent': 1, 'breathe': 1, 'big': 1, 'hot': 1, 'live': 1, 'write': 1, 'remember': 1, 'caught': 1, 'bright': 1, 'fresh': 1, 'rob': 1, 'preach': 1}"
REALLY,DaBaby Featuring Stunna 4 Vegas,"{'blunt': 3, 'respond': 1, 'hot': 1, 'hear': 1, 'send': 1, 'popped': 1}"
XXL,DaBaby,"{'woo': 3, 'quit': 3, 'send': 2, 'hot': 2, 'owe': 1, 'pulled': 1, 'got': 1, 'ask': 1, 'new': 1, 'heard': 1, 'sad': 1}"
PROLLY HEARD,DaBaby,"{'hear': 9, 'fucked': 2, 'new': 1, 'intolerant': 1, 'marry': 1, 'please': 1, 'big': 1, 'sorry': 1, 'heard': 1}"
Chicken Noodle Soup,j-hope Featuring Becky G.,"{'ooh': 8, 'bring': 4}"
By My Lonely,Kevin Gates,"{'sit': 2, 'eat': 1, 'hard': 1, 'big': 1, 'pray': 1}"
There He Go,DaBaby,"{'broke': 1, 'provide': 1}"
The Ones That Didn't Make It Back Home,Justin Moore,"{'long': 3, 'forget': 3, 'sure': 3, 'shut': 1, 'amazing': 1}"
Did It Again,Lil Tecca,"{'lose': 7, 'ooh': 2, 'prove': 2, 'depend': 1}"
Pop Out,Polo G Featuring Lil Tjay,"{'sorry': 3, 'new': 3, 'late': 1, 'tighten': 1, 'swear': 1, 'lose': 1, 'masturbate': 1, 'risked': 1}"
Beer Never Broke My Heart,Luke Combs,"{'beautiful': 1, 'sure': 1}"
Speechless,Dan + Shay,"{'thank': 2, 'happens': 1, 'new': 1}"
Knockin' Boots,Luke Bryan,"{'long': 1, 'cheap': 1}"
Behind Barz,Drake,"{'big': 3, 'froze': 2, 'except': 1, 'loyal': 1, 'relax': 1, 'lose': 1, 'attach': 1, 'scratched': 1}"
A Thousand Bad Times,Post Malone,"{'hard': 4, 'thank': 3, 'ooh': 1, 'wanted': 1, 'false': 1, 'spend': 1, 'ignore': 1, 'broke': 1, 'chose': 1}"
It's You,Ali Gatie,"{'please': 7, 'delicate': 3, 'broken': 1, 'choose': 1, 'speaks': 1}"
Slide Away,Miley Cyrus,"{'woo': 6, 'ooh': 6, 'paralyze': 2, 'grown': 2}"
Shameless,Camila Cabello,"{'long': 3, 'afraid': 3, 'write': 3, 'erase': 3, 'many': 2, 'confused': 2, 'speak': 1, 'forgiven': 1}"
Queen Of Mean,Sarah Jeffery,"{'deserve': 2, 'tired': 1, 'happy': 1, 'follow': 1, 'ask': 1, 'overwhelm': 1, 'hotter': 1, 'wicked': 1, 'magnetic': 1, 'unsure': 1, 'promising': 1, 'expensive': 1, 'lose': 1, 'sit': 1, 'learn': 1}"
Rearview Town,Jason Aldean,"{'broken': 2, 'wiped': 1, 'threw': 1, 'stuck': 1, 'disappear': 1, 'hard': 1, 'new': 1}"
Staring At The Sun,Post Malone Featuring SZA,"{'become': 3, 'warn': 3, 'lose': 2, 'slow': 1, 'reminded': 1, 'listen': 1}"
I'm Gonna Be,Post Malone,"{'ooh': 7, 'hard': 5, 'long': 3, 'live': 1, 'comfortable': 1}"
Mood Swings,A Boogie Wit da Hoodie,"{'big': 5, 'caught': 2, 'nasty': 2, 'sexy': 2, 'lose': 2, 'tight': 1, 'analyze': 1}"
All To Myself,Dan + Shay,"{'long': 3, 'tight': 1, 'sing': 1, 'selfish': 1}"
Allergic,Post Malone,"{'allergic': 8, 'sad': 5, 'believe': 3, 'erase': 1, 'sober': 1, 'hard': 1}"
Press,Cardi B,"{'woo': 11, 'new': 5, 'bulletproof': 2, 'please': 2, 'cheap': 2, 'pressed': 1, 'knew': 1, 'foreign': 1, 'hot': 1, 'chopped': 1, 'send': 1, 'ordered': 1, 'long': 1, 'ask': 1, 'sit': 1, 'big': 1}"
"1, 2 Many",Luke Combs & Brooks & Dunn,"{'many': 4, 'wide': 3, 'long': 1, 'loose': 1, 'quit': 1}"
"Hey Look Ma, I Made It",Panic! At The Disco,"{'believe': 4, 'late': 2, 'pray': 2, 'lose': 2, 'happy': 1, 'celebrate': 1, 'loyal': 1, 'wide': 1, 'awake': 1}"
Myself,Post Malone,"{'live': 3, 'spent': 3, 'believe': 1}"
I Know,Post Malone,"{'discover': 2, 'precise': 2, 'listen': 2, 'explain': 2, 'learn': 1, 'ooh': 1, 'lose': 1}"
Internet,Post Malone,"{'ooh': 6, 'guessed': 1, 'live': 1, 'dangerous': 1, 'late': 1}"
Buy My Own Drinks,Runaway June,"{'ask': 1, 'medicate': 1}"
Easier,5 Seconds Of Summer,"{'easy': 16, 'beautiful': 5, 'hard': 4, 'breathe': 2}"
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie","{'told': 5, 'easy': 4, 'ask': 4, 'relax': 4, 'new': 2, 'up': 1, 'thank': 1, 'understand': 1}"
Go Loko,"YG, Tyga & Jon Z","{'big': 2, 'hard': 1, 'drown': 1, 'behave': 1, 'eat': 1, 'woo': 1}"
Doin' Time,Lana Del Rey,"{'easy': 4, 'agree': 4, 'qualified': 4, 'represent': 4, 'hard': 4, 'harder': 4, 'hotter': 1}"
7 Rings,Ariana Grande,"{'write': 2, 'solve': 2, 'sad': 1, 'sing': 1, 'big': 1, 'new': 1}"
Whiskey Glasses,Morgan Wallen,"{'new': 3, 'pour': 2, 'sing': 2, 'strong': 2, 'swear': 1}"
God's Country,Blake Shelton,"{'muddy': 4, 'baptize': 4, 'pray': 1, 'thank': 1, 'bring': 1, 'proud': 1}"
Shotta Flow,NLE Choppa,"{'heard': 3, 'extend': 1, 'long': 1, 'knew': 1, 'tame': 1, 'dangerous': 1, 'ooh': 1, 'many': 1, 'confuse': 1, 'hot': 1, 'new': 1}"
ME!,Taylor Swift Featuring Brendon Urie,"{'ooh': 32, 'follow': 1, 'tend': 1, 'ran': 1}"
Babushka Boi,A$AP Rocky,"{'dedicate': 4, 'please': 2, 'many': 2, 'expect': 2, 'breastes': 2, 'bake': 1, 'new': 1, 'become': 1, 'pray': 1}"
Cruel Summer,Taylor Swift,"{'ooh': 6, 'new': 3, 'snuck': 2, 'slow': 1, 'bleed': 1, 'hear': 1, 'heard': 1}"
I Forgot That You Existed,Taylor Swift,"{'forget': 5, 'forgot': 4, 'exist': 4, 'peaceful': 3, 'live': 2, 'existed': 2, 'many': 1, 'spend': 1, 'happen': 1, 'laughed': 1, 'send': 1, 'hard': 1}"
Call You Mine,The Chainsmokers & Bebe Rexha,"{'ooh': 13, 'live': 4, 'believe': 2, 'bring': 2, 'broke': 1}"
Out Of Luck,Lil Tecca,"{'attract': 4, 'appreciate': 2, 'remember': 2, 'proud': 2, 'demonstrate': 2, 'swear': 1, 'immature': 1, 'grow': 1, 'accuse': 1, 'hear': 1, 'thank': 1, 'bless': 1}"
Shots,Lil Tecca,"{'ooh': 9, 'send': 6, 'attract': 2, 'ask': 1, 'commit': 1}"
Juice,Lizzo,"{'ooh': 6, 'loose': 3, 'heard': 2, 'please': 1, 'lose': 1}"
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,"{'woo': 8, 'many': 2, 'preach': 2, 'bless': 1, 'teaming': 1, 'tried': 1, 'new': 1, 'ask': 1, 'fucked': 1, 'stayed': 1, 'bring': 1, 'reimburse': 1, 'big': 1}"
God Only Knows,for KING & COUNTRY,"{'afraid': 2, 'believe': 2, 'ashamed': 2, 'misunderstood': 2, 'wide': 1, 'awake': 1, 'asleep': 1}"
Love Me,Lil Tecca,"{'big': 1, 'pray': 1, 'replace': 1, 'loyal': 1, 'long': 1}"
The Archer,Taylor Swift,"{'easy': 2, 'grow': 1, 'invisible': 1}"
Paper Rings,Taylor Swift,"{'marry': 4, 'except': 4, 'long': 2, 'dirty': 2, 'breathe': 1, 'outdoor': 1}"
Miss Americana & The Heartbreak Prince,Taylor Swift,"{'sad': 3, 'likely': 3, 'lose': 2, 'adore': 1, 'hopeless': 1, 'long': 1, 'losing': 1, 'hung': 1, 'seem': 1, 'depress': 1}"
I Think He Knows,Taylor Swift,"{'bless': 14, 'understand': 4, 'follow': 2}"
Cornelia Street,Taylor Swift,"{'lose': 5, 'terrify': 3, 'mystify': 2, 'strong': 1, 'fresh': 1, 'bless': 1, 'memorize': 1, 'sit': 1, 'sacred': 1, 'new': 1, 'become': 1, 'listen': 1, 'mystified': 1}"
London Boy,Taylor Swift,"{'ooh': 6, 'enjoy': 3, 'met': 3, 'heard': 2, 'please': 2, 'happen': 1, 'live': 1, 'threaten': 1}"
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,"{'ooh': 12, 'pray': 2, 'suppose': 2, 'nicer': 1, 'brighten': 1}"
Death By A Thousand Cuts,Taylor Swift,"{'long': 2, 'ask': 2, 'write': 1, 'united': 1, 'thin': 1}"
Afterglow,Taylor Swift,"{'lose': 7, 'ooh': 6, 'sorry': 3, 'blew': 1, 'excruciate': 1, 'live': 1, 'punish': 1}"
False God,Taylor Swift,"{'false': 6, 'remember': 2, 'warn': 2, 'hard': 2, 'lose': 2, 'new': 1, 'beg': 1}"
Daylight,Taylor Swift,"{'long': 3, 'believe': 3, 'wide': 2, 'awake': 2, 'new': 2, 'afraid': 2, 'live': 1, 'many': 1, 'unlucky': 1, 'become': 1, 'wicked': 1, 'breathe': 1, 'brighter': 1, 'intertwine': 1, 'define': 1}"
Raised On Country,Chris Young,"{'listen': 3, 'sing': 3, 'southern': 1, 'survive': 1, 'learn': 1, 'live': 1, 'proud': 1}"
It's Nice To Have A Friend,Taylor Swift,{'ooh': 10}
Never Really Over,Katy Perry,"{'meant': 2, 'lose': 1, 'rewire': 1}"
EARFQUAKE,"Tyler, The Creator","{'rid': 4, 'ooh': 1, 'wicked': 1, 'happen': 1}"
Clout,Offset Featuring Cardi B,"{'woo': 8, 'ooh': 4, 'weak': 2, 'new': 2, 'selfish': 2, 'late': 1, 'toxic': 1, 'eat': 1, 'hear': 1, 'big': 1, 'tame': 1}"
What's The Move,Young Thug Featuring Lil Uzi Vert,"{'shut': 6, 'woo': 5, 'hard': 3, 'maintain': 3, 'richer': 2, 'big': 2, 'tired': 1, 'tight': 1, 'send': 1, 'ooh': 1}"
Just How It Is,Young Thug,"{'woo': 10, 'ooh': 9, 'ask': 5, 'suppose': 3, 'send': 3, 'slippery': 1, 'kidnap': 1, 'live': 1, 'caught': 1, 'popped': 1, 'speak': 1, 'big': 1}"
Surf,Young Thug Featuring Gunna,"{'woo': 3, 'drown': 2, 'big': 1, 'send': 1, 'told': 1, 'tight': 1, 'new': 1, 'foreign': 1}"
Sup Mate,Young Thug Featuring Future,"{'woo': 49, 'ooh': 32, 'quit': 3, 'accept': 2, 'bleed': 2, 'loud': 2, 'slept': 1, 'fucked': 1, 'prepare': 1, 'doubled': 1, 'bake': 1, 'heard': 1, 'new': 1, 'enter': 1, 'pray': 1, 'slim': 1}"
Won't Be Late,Swae Lee Featuring Drake,"{'late': 6, 'write': 2, 'bring': 1, 'closed': 1, 'long': 1, 'speak': 1, 'slow': 1}"
Light It Up,Young Thug,"{'woo': 17, 'blat': 2, 'sit': 2, 'late': 2, 'replace': 1, 'bought': 1, 'mixed': 1, 'spend': 1, 'spilled': 1}"
Lil Baby,Young Thug,"{'long': 4, 'reveal': 4, 'late': 3, 'sucked': 3, 'extend': 3, 'live': 2, 'fucked': 1, 'different': 1, 'afford': 1, 'big': 1, 'woo': 1, 'ask': 1}"
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,"{'please': 6, 'big': 2, 'woosh': 1, 'got': 1, 'swear': 1}"
Some Of It,Eric Church,"{'learn': 3, 'hard': 3, 'easy': 3, 'cheap': 1, 'scared': 1, 'pray': 1, 'slow': 1, 'sure': 1}"
Ecstasy,Young Thug Featuring Machine Gun Kelly,"{'pure': 7, 'sealed': 1, 'hard': 1, 'sure': 1, 'bloody': 1, 'learn': 1, 'pour': 1, 'drank': 1, 'bring': 1}"
Uno,Ambjaay,"{'big': 9, 'live': 2, 'heard': 2, 'hear': 1}"
Daddy,Blueface & Rich The Kid,"{'ooh': 10, 'attach': 10, 'blew': 1, 'sexual': 1, 'new': 1, 'spend': 1, 'involve': 1}"
Happier,Marshmello & Bastille,"{'happier': 8, 'happy': 4, 'become': 1, 'happen': 1, 'eat': 1, 'ran': 1}"
Sweet But Psycho,Ava Max,"{'hot': 4, 'tasty': 3, 'on': 2, 'sugarcoat': 1, 'strange': 1, 'insane': 1}"
Better,Khalid,"{'swear': 4, 'admit': 3, 'bored': 2, 'connect': 2, 'ooh': 2, 'bring': 2, 'fucked': 1, 'sober': 1, 'live': 1, 'hear': 1}"
Going Bad,Meek Mill Featuring Drake,"{'ooh': 4, 'legal': 2, 'ask': 2, 'involve': 2, 'grow': 2, 'foreign': 1, 'bring': 1, 'send': 1, 'near': 1, 'extend': 1, 'big': 1}"
Talk You Out Of It,Florida Georgia Line,"{'believe': 2, 'long': 1, 'easy': 1, 'grown': 1, 'loud': 1, 'hear': 1}"
Gold Roses,Rick Ross Featuring Drake,"{'late': 6, 'big': 3, 'speak': 2, 'different': 2, 'hear': 2, 'sit': 2, 'understand': 2, 'serious': 1, 'new': 1, 'impressive': 1, 'expensive': 1, 'distant': 1, 'appoint': 1, 'avoid': 1, 'bring': 1, 'nominate': 1, 'live': 1, 'lose': 1, 'bought': 1, 'seem': 1, 'odd': 1, 'discover': 1, 'on': 1, 'create': 1, 'remembers': 1, 'nages': 1, 'false': 1, 'write': 1, 'allocate': 1}"
Just Us,DJ Khaled Featuring SZA,"{'grown': 1, 'dangerous': 1, 'lose': 1, 'slow': 1, 'visible': 1, 'hard': 1, 'ooh': 1}"
Small Talk,Katy Perry,"{'believe': 3, 'forget': 3, 'strange': 1, 'new': 1}"
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair","{'outnumber': 2, 'align': 2, 'hard': 2, 'react': 2, 'bring': 1, 'follow': 1, 'big': 1, 'tight': 1, 'alive': 1, 'forget': 1, 'strong': 1}"
Snake Skin,Trippie Redd,"{'foreign': 4, 'commit': 2, 'please': 2, 'obtuse': 1, 'big': 1}"
24/7,Meek Mill Featuring Ella Mai,"{'live': 1, 'forget': 1, 'happy': 1, 'listen': 1, 'respond': 1, 'new': 1, 'heard': 1, 'gentle': 1, 'sing': 1}"
Love Ain't,Eli Young Band,"{'new': 3, 'sad': 2, 'pour': 1, 'lose': 1, 'write': 1}"
Sanguine Paradise,Lil Uzi Vert,"{'lose': 5, 'hear': 3, 'different': 3, 'foreign': 2, 'rid': 2, 'live': 2, 'bought': 1, 'choose': 1, 'dismiss': 1, 'eat': 1, 'hard': 1, 'spent': 1}"
Tap,NAV Featuring Meek Mill,"{'whacked': 2, 'late': 2, 'learn': 2, 'extort': 1, 'humble': 1, 'behave': 1, 'honest': 1, 'got': 1}"
La La Land,Bryce Vine Featuring YG,"{'met': 3, 'live': 1, 'big': 1, 'fresh': 1, 'got': 1, 'heard': 1, 'expensive': 1, 'bless': 1, 'alive': 1, 'remember': 1}"
Single Again,Big Sean,"{'spend': 6, 'slow': 3, 'easy': 3, 'new': 2, 'near': 2, 'late': 2, 'ooh': 2, 'happen': 1, 'pray': 1, 'seem': 1, 'prove': 1, 'mental': 1, 'random': 1, 'strong': 1, 'lose': 1}"
Worth It,YK Osiris,"{'understand': 2, 'thank': 1, 'stuck': 1, 'swear': 1}"
