,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,"[{'label': 'anger', 'score': 0.4244213104248047}]","[{'label': 'fear', 'score': 0.5087372064590454}]","[{'label': 'joy', 'score': 0.373494952917099}]","[{'label': 'joy', 'score': 0.7261488437652588}]","[{'label': 'sadness', 'score': 0.6954023241996765}]","[{'label': 'joy', 'score': 0.49055102467536926}]","[{'label': 'joy', 'score': 0.33922508358955383}]","[{'label': 'joy', 'score': 0.5387394428253174}]","[{'label': 'fear', 'score': 0.6522011756896973}]","[{'label': 'anger', 'score': 0.6350801587104797}]","[{'label': 'joy', 'score': 0.46804600954055786}]","[{'label': 'anger', 'score': 0.6128339767456055}]","[{'label': 'fear', 'score': 0.33623868227005005}]","[{'label': 'joy', 'score': 0.8645455837249756}]","[{'label': 'fear', 'score': 0.7272912859916687}]","[{'label': 'joy', 'score': 0.4257088005542755}]","[{'label': 'anger', 'score': 0.4120083153247833}]","[{'label': 'joy', 'score': 0.47718480229377747}]","[{'label': 'joy', 'score': 0.7955695390701294}]","[{'label': 'anger', 'score': 0.5360296964645386}]","[{'label': 'anger', 'score': 0.622052013874054}]","[{'label': 'fear', 'score': 0.3879948556423187}]","[{'label': 'fear', 'score': 0.6441704034805298}]","[{'label': 'anger', 'score': 0.40618380904197693}]","[{'label': 'joy', 'score': 0.5074595212936401}]",
11,"[{'label': 'joy', 'score': 0.5851938128471375}]","[{'label': 'joy', 'score': 0.38596516847610474}]","[{'label': 'anger', 'score': 0.6605254411697388}]","[{'label': 'anger', 'score': 0.35484275221824646}]","[{'label': 'joy', 'score': 0.627947986125946}]","[{'label': 'fear', 'score': 0.5616945624351501}]","[{'label': 'anger', 'score': 0.9872992634773254}]","[{'label': 'anger', 'score': 0.5882219076156616}]","[{'label': 'joy', 'score': 0.6700907945632935}]","[{'label': 'anger', 'score': 0.7250399589538574}]","[{'label': 'joy', 'score': 0.47470369935035706}]","[{'label': 'joy', 'score': 0.7691511511802673}]","[{'label': 'joy', 'score': 0.6155327558517456}]","[{'label': 'joy', 'score': 0.40614718198776245}]","[{'label': 'anger', 'score': 0.6350801587104797}]","[{'label': 'fear', 'score': 0.8669504523277283}]","[{'label': 'joy', 'score': 0.550032377243042}]","[{'label': 'joy', 'score': 0.523137092590332}]","[{'label': 'fear', 'score': 0.6045117974281311}]","[{'label': 'anger', 'score': 0.46222856640815735}]","[{'label': 'joy', 'score': 0.47718480229377747}]","[{'label': 'anger', 'score': 0.5654779672622681}]","[{'label': 'anger', 'score': 0.8732990622520447}]","[{'label': 'anger', 'score': 0.4992213547229767}]","[{'label': 'joy', 'score': 0.4584822654724121}]",
12,"[{'label': 'fear', 'score': 0.5596091747283936}]","[{'label': 'anger', 'score': 0.3209095597267151}]","[{'label': 'anger', 'score': 0.7511003613471985}]","[{'label': 'joy', 'score': 0.590188205242157}]","[{'label': 'joy', 'score': 0.5141283273696899}]","[{'label': 'fear', 'score': 0.5897171497344971}]","[{'label': 'joy', 'score': 0.82423335313797}]","[{'label': 'fear', 'score': 0.8261788487434387}]","[{'label': 'anger', 'score': 0.4569975733757019}]","[{'label': 'joy', 'score': 0.39541682600975037}]","[{'label': 'anger', 'score': 0.7606242299079895}]",,,,,,,,,,,,,,,
13,"[{'label': 'anger', 'score': 0.7932026386260986}]","[{'label': 'anger', 'score': 0.6677668690681458}]","[{'label': 'anger', 'score': 0.9224570989608765}]","[{'label': 'anger', 'score': 0.565805196762085}]","[{'label': 'anger', 'score': 0.48916497826576233}]","[{'label': 'anger', 'score': 0.9723379015922546}]","[{'label': 'anger', 'score': 0.35579735040664673}]","[{'label': 'anger', 'score': 0.989474892616272}]","[{'label': 'anger', 'score': 0.919119119644165}]","[{'label': 'anger', 'score': 0.474461168050766}]","[{'label': 'anger', 'score': 0.48043641448020935}]","[{'label': 'anger', 'score': 0.9350060820579529}]","[{'label': 'joy', 'score': 0.40634289383888245}]","[{'label': 'fear', 'score': 0.409799188375473}]","[{'label': 'joy', 'score': 0.7354221940040588}]","[{'label': 'joy', 'score': 0.5343977808952332}]","[{'label': 'joy', 'score': 0.39243632555007935}]","[{'label': 'fear', 'score': 0.8261788487434387}]","[{'label': 'joy', 'score': 0.43739452958106995}]","[{'label': 'anger', 'score': 0.3209095597267151}]","[{'label': 'joy', 'score': 0.6335620284080505}]","[{'label': 'anger', 'score': 0.4569975733757019}]","[{'label': 'joy', 'score': 0.49055102467536926}]","[{'label': 'anger', 'score': 0.6245827674865723}]","[{'label': 'joy', 'score': 0.4388284683227539}]",
14,"[{'label': 'anger', 'score': 0.6698430776596069}]","[{'label': 'anger', 'score': 0.7381030321121216}]","[{'label': 'joy', 'score': 0.7849039435386658}]","[{'label': 'anger', 'score': 0.44728416204452515}]","[{'label': 'joy', 'score': 0.5566058158874512}]","[{'label': 'joy', 'score': 0.6692590713500977}]","[{'label': 'joy', 'score': 0.47925782203674316}]","[{'label': 'fear', 'score': 0.700935959815979}]","[{'label': 'anger', 'score': 0.5955119132995605}]","[{'label': 'joy', 'score': 0.6445077657699585}]","[{'label': 'joy', 'score': 0.5991162061691284}]","[{'label': 'joy', 'score': 0.49679529666900635}]","[{'label': 'joy', 'score': 0.4240071475505829}]","[{'label': 'anger', 'score': 0.7841396927833557}]","[{'label': 'anger', 'score': 0.6520068049430847}]","[{'label': 'joy', 'score': 0.6569271683692932}]","[{'label': 'joy', 'score': 0.8202124238014221}]","[{'label': 'anger', 'score': 0.6368234753608704}]","[{'label': 'joy', 'score': 0.7354221940040588}]","[{'label': 'joy', 'score': 0.7761415839195251}]","[{'label': 'joy', 'score': 0.45362064242362976}]","[{'label': 'anger', 'score': 0.4060914218425751}]","[{'label': 'anger', 'score': 0.7932026386260986}]","[{'label': 'anger', 'score': 0.6677668690681458}]","[{'label': 'joy', 'score': 0.4221366047859192}]",
15,"[{'label': 'anger', 'score': 0.8811695575714111}]","[{'label': 'anger', 'score': 0.4517737925052643}]","[{'label': 'fear', 'score': 0.6274479031562805}]","[{'label': 'anger', 'score': 0.8029172420501709}]","[{'label': 'anger', 'score': 0.5157378315925598}]","[{'label': 'joy', 'score': 0.9978306889533997}]","[{'label': 'anger', 'score': 0.6290135383605957}]","[{'label': 'joy', 'score': 0.9981471300125122}]","[{'label': 'anger', 'score': 0.40547946095466614}]","[{'label': 'joy', 'score': 0.4432791769504547}]","[{'label': 'anger', 'score': 0.8221461772918701}]","[{'label': 'joy', 'score': 0.6386644840240479}]","[{'label': 'anger', 'score': 0.5134525299072266}]","[{'label': 'anger', 'score': 0.884250819683075}]","[{'label': 'joy', 'score': 0.3314498960971832}]","[{'label': 'fear', 'score': 0.43406301736831665}]","[{'label': 'anger', 'score': 0.9965683221817017}]","[{'label': 'anger', 'score': 0.9968504309654236}]","[{'label': 'anger', 'score': 0.9797247648239136}]","[{'label': 'anger', 'score': 0.6368234753608704}]","[{'label': 'anger', 'score': 0.9918346405029297}]","[{'label': 'joy', 'score': 0.8517182469367981}]","[{'label': 'joy', 'score': 0.766907811164856}]","[{'label': 'anger', 'score': 0.4328007996082306}]","[{'label': 'anger', 'score': 0.5299026966094971}]",
16,"[{'label': 'anger', 'score': 0.7288033962249756}]","[{'label': 'anger', 'score': 0.5134525299072266}]","[{'label': 'joy', 'score': 0.8027529120445251}]","[{'label': 'joy', 'score': 0.8420448899269104}]","[{'label': 'anger', 'score': 0.5164475440979004}]","[{'label': 'anger', 'score': 0.7237892746925354}]","[{'label': 'joy', 'score': 0.6181522011756897}]","[{'label': 'anger', 'score': 0.7040846943855286}]","[{'label': 'anger', 'score': 0.615604043006897}]","[{'label': 'sadness', 'score': 0.8877260088920593}]","[{'label': 'fear', 'score': 0.8352567553520203}]","[{'label': 'joy', 'score': 0.5223102569580078}]","[{'label': 'joy', 'score': 0.954906702041626}]","[{'label': 'anger', 'score': 0.7305727005004883}]","[{'label': 'anger', 'score': 0.4679533839225769}]","[{'label': 'joy', 'score': 0.5240209698677063}]","[{'label': 'anger', 'score': 0.5831421613693237}]","[{'label': 'fear', 'score': 0.5036231875419617}]","[{'label': 'fear', 'score': 0.45887744426727295}]","[{'label': 'joy', 'score': 0.7206408977508545}]","[{'label': 'fear', 'score': 0.409799188375473}]","[{'label': 'anger', 'score': 0.8269685506820679}]","[{'label': 'joy', 'score': 0.5810528993606567}]","[{'label': 'anger', 'score': 0.531589150428772}]","[{'label': 'anger', 'score': 0.7686810493469238}]",
17,"[{'label': 'joy', 'score': 0.7301292419433594}]","[{'label': 'sadness', 'score': 0.8097155690193176}]","[{'label': 'fear', 'score': 0.4243465065956116}]","[{'label': 'fear', 'score': 0.3805103898048401}]","[{'label': 'fear', 'score': 0.45887744426727295}]","[{'label': 'joy', 'score': 0.6343044638633728}]","[{'label': 'anger', 'score': 0.41263699531555176}]","[{'label': 'love', 'score': 0.7356561422348022}]","[{'label': 'joy', 'score': 0.3688637912273407}]","[{'label': 'anger', 'score': 0.531589150428772}]","[{'label': 'anger', 'score': 0.6535455584526062}]","[{'label': 'anger', 'score': 0.6863669157028198}]","[{'label': 'anger', 'score': 0.6195201277732849}]","[{'label': 'anger', 'score': 0.6083051562309265}]","[{'label': 'anger', 'score': 0.782767653465271}]","[{'label': 'anger', 'score': 0.7280960083007812}]","[{'label': 'anger', 'score': 0.40618380904197693}]","[{'label': 'joy', 'score': 0.5240209698677063}]","[{'label': 'joy', 'score': 0.5314621329307556}]","[{'label': 'anger', 'score': 0.4618712365627289}]","[{'label': 'fear', 'score': 0.5897171497344971}]","[{'label': 'anger', 'score': 0.4095121920108795}]","[{'label': 'fear', 'score': 0.41591182351112366}]","[{'label': 'joy', 'score': 0.8823725581169128}]",,
18,"[{'label': 'anger', 'score': 0.4101473391056061}]","[{'label': 'joy', 'score': 0.4359442889690399}]","[{'label': 'anger', 'score': 0.887416422367096}]","[{'label': 'anger', 'score': 0.4629895091056824}]","[{'label': 'anger', 'score': 0.4553207457065582}]","[{'label': 'fear', 'score': 0.32428237795829773}]","[{'label': 'anger', 'score': 0.7040846943855286}]","[{'label': 'joy', 'score': 0.5666542649269104}]","[{'label': 'joy', 'score': 0.5295544862747192}]","[{'label': 'joy', 'score': 0.5321133732795715}]","[{'label': 'anger', 'score': 0.870991587638855}]","[{'label': 'joy', 'score': 0.49525076150894165}]","[{'label': 'fear', 'score': 0.41591182351112366}]","[{'label': 'fear', 'score': 0.3879525065422058}]","[{'label': 'anger', 'score': 0.8269685506820679}]","[{'label': 'joy', 'score': 0.8790086507797241}]","[{'label': 'joy', 'score': 0.7179211378097534}]","[{'label': 'joy', 'score': 0.4537196755409241}]","[{'label': 'joy', 'score': 0.5583239793777466}]","[{'label': 'anger', 'score': 0.2967233955860138}]","[{'label': 'anger', 'score': 0.5387508273124695}]","[{'label': 'anger', 'score': 0.989474892616272}]","[{'label': 'anger', 'score': 0.47273048758506775}]","[{'label': 'anger', 'score': 0.693752110004425}]","[{'label': 'anger', 'score': 0.4785757064819336}]",
19,"[{'label': 'joy', 'score': 0.9982373714447021}]","[{'label': 'anger', 'score': 0.44459348917007446}]","[{'label': 'joy', 'score': 0.9982112646102905}]","[{'label': 'joy', 'score': 0.8599685430526733}]","[{'label': 'anger', 'score': 0.4328007996082306}]","[{'label': 'anger', 'score': 0.5127713084220886}]","[{'label': 'anger', 'score': 0.42272239923477173}]","[{'label': 'anger', 'score': 0.7608324289321899}]","[{'label': 'joy', 'score': 0.8693101406097412}]","[{'label': 'anger', 'score': 0.6826490759849548}]","[{'label': 'joy', 'score': 0.7000284194946289}]","[{'label': 'anger', 'score': 0.8154274821281433}]","[{'label': 'anger', 'score': 0.6937562823295593}]","[{'label': 'joy', 'score': 0.7179211378097534}]","[{'label': 'joy', 'score': 0.9918248057365417}]","[{'label': 'anger', 'score': 0.5648590326309204}]","[{'label': 'joy', 'score': 0.5583239793777466}]","[{'label': 'joy', 'score': 0.6442176103591919}]","[{'label': 'anger', 'score': 0.7072519063949585}]","[{'label': 'joy', 'score': 0.4221366047859192}]","[{'label': 'joy', 'score': 0.6120553016662598}]","[{'label': 'joy', 'score': 0.5674065351486206}]","[{'label': 'joy', 'score': 0.5519604086875916}]","[{'label': 'joy', 'score': 0.5607197880744934}]","[{'label': 'joy', 'score': 0.7304251194000244}]",
20,"[{'label': 'joy', 'score': 0.5797487497329712}]","[{'label': 'joy', 'score': 0.9051597714424133}]","[{'label': 'anger', 'score': 0.6294223666191101}]","[{'label': 'joy', 'score': 0.44040220975875854}]","[{'label': 'joy', 'score': 0.8081035614013672}]","[{'label': 'joy', 'score': 0.7588819265365601}]","[{'label': 'joy', 'score': 0.8172019124031067}]","[{'label': 'anger', 'score': 0.32961857318878174}]","[{'label': 'anger', 'score': 0.4391064941883087}]","[{'label': 'anger', 'score': 0.4391064941883087}]","[{'label': 'anger', 'score': 0.5867068767547607}]","[{'label': 'joy', 'score': 0.7041672468185425}]","[{'label': 'anger', 'score': 0.8281470537185669}]","[{'label': 'anger', 'score': 0.51673424243927}]","[{'label': 'joy', 'score': 0.7172006368637085}]","[{'label': 'fear', 'score': 0.44125792384147644}]","[{'label': 'joy', 'score': 0.5283304452896118}]","[{'label': 'anger', 'score': 0.8363745808601379}]","[{'label': 'anger', 'score': 0.46002018451690674}]","[{'label': 'anger', 'score': 0.5841253399848938}]","[{'label': 'fear', 'score': 0.3879525065422058}]","[{'label': 'joy', 'score': 0.7474417090415955}]","[{'label': 'anger', 'score': 0.5028637051582336}]","[{'label': 'anger', 'score': 0.7072519063949585}]","[{'label': 'joy', 'score': 0.5036730170249939}]","[{'label': 'anger', 'score': 0.6174495816230774}]"
21,"[{'label': 'anger', 'score': 0.5449385643005371}]","[{'label': 'joy', 'score': 0.326990008354187}]","[{'label': 'anger', 'score': 0.7217277884483337}]","[{'label': 'joy', 'score': 0.44761836528778076}]","[{'label': 'anger', 'score': 0.8589227199554443}]","[{'label': 'joy', 'score': 0.5304943919181824}]","[{'label': 'joy', 'score': 0.538544237613678}]","[{'label': 'joy', 'score': 0.541191816329956}]","[{'label': 'anger', 'score': 0.4758839011192322}]","[{'label': 'joy', 'score': 0.7520229816436768}]","[{'label': 'fear', 'score': 0.4650351405143738}]","[{'label': 'joy', 'score': 0.5027153491973877}]","[{'label': 'joy', 'score': 0.4703393578529358}]","[{'label': 'joy', 'score': 0.6774901151657104}]","[{'label': 'anger', 'score': 0.7559004426002502}]","[{'label': 'joy', 'score': 0.5631377696990967}]","[{'label': 'joy', 'score': 0.44047224521636963}]","[{'label': 'joy', 'score': 0.5549052953720093}]","[{'label': 'anger', 'score': 0.44391897320747375}]","[{'label': 'joy', 'score': 0.6442176103591919}]",,,,,,
