song,artist,dateRank,lyrics
Live Like We're Dying,Kris Allen,"{'2010-01-09': 32, '2010-01-02': 33}","8 ContributorsLive Like We’re Dying Lyrics[Intro]
Oh, yeah, yeah

[Verse 1]
Sometimes we fall down, can't get back up
We're hiding behind skin that's too tough
How come we don't say ""I love you"" enough?
'Til it's to late
It's not too late

[Verse 2]
Our hearts are hungry for a food that won't come
And we could make a feast from these crumbs, yeah
And we're all staring down the barrel of a gun
So if your life flashed before you
What would you wish you would've done?

[Chorus]
Yeah, we gotta start
Looking at the hands of the time we've been given
If this is all we got, then we gotta start thinking
If every second counts on a clock that's ticking
Gotta live like we're dying
We only got eighty six, four-hundred seconds in a day to
Turn it all around or to throw it all away
Gotta tell 'em that we love 'em while we got the chance to say
Gotta live like we're dying, oh
You might also like[Verse 2]
And if your plane fell out of the skies
Who would you call with your last goodbye?
Should be so careful who we let fall out our lives
'Cause when we long for absolution
There'll be no one on the line, yeah

[Chorus]
Yeah, we gotta start
Looking at the hands of the time we've been given
If this is all we got, then we gotta start thinking
If every second counts on a clock that's ticking
Gotta live like we're dying
We only got 86,400 seconds in a day to
Turn it all around or to throw it all away
Gotta tell 'em that we love 'em while we got the chance to say
Gotta live like we're dying, oh
Like we're dying, oh, like we're dying
Like we're dying, oh, like we're dying
We only got eighty six, four-hundred seconds in a day to
Turn it all around or to throw it all away
Gotta tell 'em that we love 'em while we got the chance to say
Gotta live like we're dying
Yeah
Mm
[Bridge]
You never know a good thing 'til it's gone
You never see a crash 'til it's head on
Why do we think we're right when we're dead wrong?
You never know a good thing 'til it's gone

[Chorus]
Yeah, we gotta start
Looking at the hands of the time we've been given
If this is all we got, then we gotta start thinking
If every second counts on a clock that's ticking
Gotta live like we're dying
We only got 86,400 seconds in a day to
Turn it all around or to throw it all away
Gotta tell 'em that we love 'em while we got the chance to say
Gotta live like we're dying, oh
Like we're dying, oh, like we're dying
Like we're dying, oh, like we're dying
We only got eighty six, four-hundred seconds in a day to
Turn it all around or to throw it all away
Gotta tell 'em that we love 'em while we got the chance to say
Gotta live like we're dying6Embed"
Naturally,Selena Gomez & The Scene,{'2010-01-09': 39},"30 ContributorsNaturally Lyrics[Verse 1]
How you choose to express yourself
It's all your own and I can tell it comes naturally
It comes naturally
You follow what you feel inside
It's intuitive, you don't have to try
It comes naturally
Mm, it comes naturally

[Pre-Chorus]
And it takes my breath away
What you do so naturally

[Chorus]
You are the thunder and I am the lightning
And I love the way you know who you are
And to me, it's exciting
When you know it's meant to be
Everything comes naturally, it comes naturally
When you're with me, baby
Everything comes naturally, it comes naturally
Ba-ba-baby

[Verse 2]
You have a way of moving me
A force of nature, your energy
It comes naturally (You know it does)
It comes naturally (Mmm, yeah)
You might also like[Pre-Chorus]
And it takes my breath away (Every time)
What you do so naturally

[Chorus]
You are the thunder and I am the lightning
And I love the way you know who you are
And to me, it's exciting
When you know it's meant to be
Everything comes naturally, it comes naturally
When you're with me, baby
Everything comes naturally, it comes naturally
Ba-ba-baby

[Bridge]
When we collide, sparks fly
When you look in my eyes
It takes my breath away
You are

[Chorus]
You are the thunder and I am the lightning
And I love the way you know who you are
And to me, it's exciting
When you know it's meant to be
Everything comes naturally, it comes naturally
When you're with me, baby
Everything comes naturally, it comes naturally
Ba-ba-baby
[Outro]
(Naturally) Naturally (Naturally), naturally (Naturally)
Ba-ba-baby
(Naturally) Naturally (Naturally), naturally (Naturally)
Everything, baby, comes naturally
Naturally, naturally, everything, baby, comes naturally10Embed"
BedRock,Young Money Featuring Lloyd,"{'2010-01-09': 12, '2010-01-02': 12}","186 ContributorsBedRock Lyrics[Refrain: Lloyd]
I-I-I-I can make your bed rock (Young Money)
I-I-I-I can make your bed rock, girl (Kane is in the building, nigga)
I-I-I-I can make your bed rock
I-I-I-I can make your bed rock

[Verse 1: Lil Wayne]
Uh, she got that good-good, she Michael Jackson bad
I'm attracted to her, or her attractive ass
And now we murderers, because we kill time
I knock her lights out and she still shine
I hate to see her go but I love to watch her leave
But I keep her running back and forth; soccer team
Cold as a winter's day, hot as a summer's eve
Young Money thieves steal your love and leave

[Verse 2: Gudda Gudda]
I like the way you walking if you walking my way
I'm that Red Bull, now let's fly away
Let's buy a place, with all kind of space
I'll let you be the judge, and-and-and I'm the case
I'm Gudda Gudda, I put her under
I see me with her, no Stevie Wonder
She don't ever wonder, 'cause she know she bad
And I got her, nigga: grocery bag
You might also like[Chorus: Lloyd]
Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock

[Refrain: Lloyd]
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)

[Verse 3: Nicki Minaj]
Okay, I get it, let me think, I guess it's my turn
Maybe it's time to put this pussy on your sideburns
He say I'm bad, he prob'ly right
He pressing me like button-downs on a Friday night
I'm so pretty like, be on my pedal bike
Be on my low starch, be on my egg whites
He say, ""Nicki don't stop, you the bestest""
And I'd just be coming off the top, asbestos

[Verse 4: Drake]
I love your sushi roll, hotter than wasabi
I race for your love, ""Shake'n Bake"" Ricky Bobby
I'm at the W, but I can't meet you in the lobby
Girl, I gotta watch my back, 'cause I'm not just anybody
I seen em stand in line just to get beside her
I let her see the Aston and let the rest surprise her
That's when we disappear, you need GPS to find her
Oh, that was your girl? I thought I recognized her
[Chorus: Lloyd]
Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock

[Refrain: Lloyd]
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)

[Verse 5: Tyga]
She like tanning, I like staying in
She like romance and I like rolling with friends
She said I'm caged in, I think her conscience is
She's watching that Oxygen, I'm watching ESPN
But when that show ends, she all over my skin, lotion
Slow-mo motions, rollercoastin'
Like back, forth, hold it
She poses like it's for posters and I poke like I'm suppose to
Take this photo if you for me, she said: ""Don't you ever show this!""
I'm too loyal and too focused
To be losing and be hopeless
When I spoke this, she rejoiced it, said ""Your words get me open""
So I closed it, where your clothes is?
I'm only loving for the moment
[Verse 6: Jae Millz]
She ain't got a man, but she's not alone
Miss Independent, yeah, she got her own
Hey gorgeous, um, I mean flawless, well
That's what you are, how I see it is how I call it, yeah
Look-look at how she walk, m-hmm, she know she bad
Do-do your thang baby, I ain't even mad
And I ain’t leavin' fast, I'ma stay awhile
Hold your head, Chris, I-I'ma take it down!

[Chorus: Lloyd]
Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock (Young Money, Yea , Yea)

[Refrain: Lloyd]
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Gudda Gudda, T-Streets, Mack Maine, J Millz)
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)
(Tyga Tyga)

[Chorus: Lloyd]
Ooh baby, I be stuck to you like glue, baby
(Drizzy Drake, Nicki Minaj)
Wanna spend it all on you, baby
(Hey Chanel, Lil Twist, Lil Chuckie, and Young Lloyd, AYEE!)
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock

[Refrain: Lloyd]
(Ooh) I-I-I-I can make your bed rock
(We Young Money)
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)79Embed"
Sexy Chick,David Guetta Featuring Akon,"{'2010-01-09': 9, '2010-01-02': 6}","19 ContributorsSexy Chick Lyrics[Verse: Akon]
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down
It's just a rumor and I don't believe 'em
They say she needs to slow down
The baddest thing around town

[Pre-Chorus: Akon (with David Guetta)]
She's nothing like a girl you've ever seen befo'
Nothing you can compare to your neighborhood, hood
I'm tryna find the words to describe this girl without being disrespectful
The way that booty movin', I can't take no more
Had to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl without being disrespectful
(Damn, girl)

[Chorus: David Guetta]
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl

[Verse: Akon]
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down
It's just a rumor and I don't believe 'em
They say she needs to slow down
The baddest thing around town
See David Guetta LiveGet tickets as low as $52You might also like[Pre-Chorus: Akon (with David Guetta)]
She's nothing like a girl you've ever seen befo'
Nothing you can compare to your neighborhood, hood
I'm tryna find the words to describe this girl without being disrespectful
The way that booty movin', I can't take no more
Had to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl without being disrespectful
(Damn, girl)

[Chorus: David Guetta]
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick
Damn, you's a sexy chick7Embed"
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,{'2010-01-09': 65},"16 ContributorsHillbilly Bone Lyrics[Verse 1: Blake Shelton]
Oh man, you've got to watch where you're steppin' around here
Yeah, I got a friend in New York City
He's never heard of Conway Twitty
Don't know nothin' 'bout grits and greens
Never been south of Queens
But he flew down here on a business trip
I took him honky tonkin' and that was it
He took to it like a pig to mud, like a cow to cud

[Chorus: Blake Shelton & Trace Adkins]
We all got a hillbilly bone down deep inside
No matter where you from you just can't hide it
And when the band starts banging and the fiddle saws
You can't help but a hollerin', Yee Haw!
When you see them pretty little country queens
Man you got to admit that's in them genes
Aren’t nothing wrong, just gettin' on your
Hillbilly bone-ba-bone-ba-bone-bone

[Verse 2: Blake Shelton, Trace Adkins, Both]
Nah, you ain’t gotta be born out in the sticks
With an F-150 and a 30-06
Or have a bubba in the family tree
To get on down with me
Yeah, bubba, all you need is an open mind
If it fires you up you got to let it shine
When it feels so right that it can't be wrong
Come on, come on, come on
You ain't alone, you ain't alone
See Blake Shelton LiveGet tickets as low as $73You might also like[Chorus: Blake Shelton & Trace Adkins]
We all got a hillbilly bone down deep inside
No matter where you from you just can't hide it
And when the band starts bangin' and the fiddle saws
You can't help but a hollerin' Yee Haw!
When you see them pretty little country queens
Man you got to admit that it's in them genes
Ain’t nothin' wrong, just getting on your
Hillbilly bone-ba-bone-ba-bone-bone

[Instrumental]

[Chorus: Blake Shelton & Trace Adkins]
Come on y'all
We all got a hillbilly bone down deep inside
No matter where you from you just can't hide
And when the band starts bangin' and the fiddle saws
You can't help but a hollerin', Yee Haw!
When you see them pretty little country queens
Man, you got to admit that's in them genes
Aren’t nothing wrong, just getting on your
Hillbilly bone-ba-bone-ba-bone-bone
Hillbilly bone ba-bone ba-bone bone
Hillbilly bone ba-bone ba-bone bone
Hillbilly bone ba-bone ba-bone bone
[Outro: Trace Adkins]
I've always wanted to sing the bone songEmbed"
How Low,Ludacris,"{'2010-01-09': 23, '2010-01-02': 13}","43 ContributorsHow Low Lyrics[Intro: Chuck D. Sample]
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?

[Verse 1: Ludacris]
Haha, Luda!
She can go lower than I ever really thought she could
Face down, ass up
The top of your booty jiggling out your jeans
Baby pull your pants up
I like it when I see you do it
Better than I've ever seen I done befo'
A lot of, women, drop it to the ground
But how low can you go?
Lower than your mama's ever seen it in her lifetime
Never would've imagined it, not even in her right mind
Practice in front of that mirror, now you doing it on the dance flo'
Mad 'cause I can't get with you, chick, just show me how to dance, oh
I may not wanna get low, so I'm posted up, kinda like a player do
But if you come to the crib, then I might show you girls a thang or two
Yeah, I think you a superstar, with a ass like that you gotta blow
Befo' you make it big, there's just one thang that I gotta know
See Ludacris LiveGet tickets as low as $61You might also like[Interlude: Chuck D. Sample]
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?

[Chorus: Shawnna & Ludacris]
I can go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know

[Verse 2: Ludacris]
I be like knick, knack, patty, wack
Oh, where my kitty cat?
Give a dog a bone
How many licks does it take 'til I get to the center and let a realer nigga take you home?
I can make this show stop, soon as he hear this fo' pop
From A-T-L-A-N-T-A-N all the way down to yo' block
Put the needle on the record
And I make her get lower than a Lamborghini
And if she really get low, then I'ma shoot a video and put it all on TV
'Cause I like that French vanilla (French vanilla)
And the caramel (and the caramel)
But when it comes to chocolate (when it comes to chocolate)
I know that very well
Asian persuasion, no discrimination, I love how they seem to please us
I wanna taste them butter Rican pecan peanut butter cups like Reese's Pieces
'Cause I think you a superstar, with a ass like that you gotta blow
Befo' you make it big, well, there's just one thang that I gotta know
[Interlude: Chuck D. Sample]
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?

[Chorus: Shawnna & Ludacris]
I can go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know

[Verse 3: Ludacris]
Drop it, hit it, dump it, split it
Don't, stop – get it, get it
Put it in reverse just to back it up
Let me put some Luda in it
Show me whatchu working with
I'll show you some of this bankroll
Yeah, you a superstar
There's just one thang I gotta know, so

[Interlude: Chuck D. Sample]
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
How low can you go? How low can you go?
[Chorus: Shawnna & Ludacris]
I can go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know
Go low (go low), lower than you know6Embed"
Heartbreak Warfare,John Mayer,"{'2010-01-09': 93, '2010-01-02': 85}","35 ContributorsHeartbreak Warfare Lyrics[Verse 1]
Lightning strike
Inside my chest to keep me up at night
Dream of ways
To make you understand my pain

[Pre-Chorus]
Clouds of sulfur in the air
Bombs are falling everywhere
It's heartbreak warfare
Once you want it to begin
No one really ever wins
In heartbreak warfare

[Chorus]
If you want more love
Why don't you say so?
If you want more love
Why don't you say so?

[Verse 2]
Drop his name
Push it in and twist the knife again
Watch my face
As I pretend to feel no pain, pain, pain
See John Mayer LiveGet tickets as low as $65You might also like[Pre-Chorus]
Clouds of sulfur in the air
Bombs are falling everywhere
It's heartbreak warfare
Once you want it to begin
No one really ever wins
In heartbreak warfare

[Chorus]
If you want more love
Why don't you say so?
If you want more love
Why don't you say so?
Just say so

[Bridge]
How come the only way to know how high you get me
Is to see how far I fall?
God only knows how much I'd love you if you let me
But I can't break through it all
It's a heart, heartbreak

[Verse 3]
I don't care if we don't sleep at all tonight
Let's just fix this whole thing now
I swear to God we're gonna get it right
If you lay your weapon down
[Chorus]
Red wine and Ambien
You're talking shit again
It's heartbreak warfare
Good to know it's all a game
Disappointment has a name
It's heartbreak, heartbreak

[Outro]
It's heartbreak warfare
It's heartbreak warfare
It's heartbreak warfare13Embed"
Halfway Gone,Lifehouse,"{'2010-01-09': 99, '2010-01-02': 91}","14 ContributorsHalfway Gone Lyrics[Verse 1]
Halfway gone, I'm halfway gone
You were always hard to hold
So letting go ain't easy
I'm hanging on but growing cold
While my mind is leaving

[Chorus]
Talk, talk is cheap
Give me your word you can keep
Because I'm halfway gone, and I'm on my way
And I'm feeling, feeling, feeling this way
Because you're halfway in, but don't take too long
Because I'm halfway gone, I'm halfway gone
Halfway gone, I'm halfway gone

[Verse 2]
You got one foot out the door
And choking on the other
Always think there's something more
Is just around the corner

[Chorus]
Talk, talk is cheap
Give me your word you can keep
Because I'm halfway gone, and I'm on my way
And I'm feeling, feeling, feeling this way
Because you're halfway in, but don't take too long
Because I'm halfway gone, I'm halfway gone
Halfway gone, I'm halfway gone
You might also like[Bridge]
If you want me out, then I'm on my way
And I'm feeling, feeling, I'm feeling this way

[Chorus]
Because you're halfway in, but don't take too long
Because I'm halfway gone, I'm halfway gone
I'm halfway gone, I'm halfway gone
Now I'm halfway gone, I'm halfway gone

[Outro]
Don't take too long, don't take too long
Because I'm on my way, if you take too long
Because I'm halfway gone, and I'm on way
And I'm feeling, feeling, I'm feeling this way
Because you're halfway in, but don't take too long
Because I'm halfway gone, I'm halfway gone
If you want me out, then I'm on my way
And I'm feeling, feeling, I'm feeling this way
Because you're halfway in, but don't take too long
Because I'm halfway gone, I'm halfway gone [3x]4Embed"
Sex Therapy,Robin Thicke,"{'2010-01-09': 94, '2010-01-02': 79}","18 ContributorsSex Therapy LyricsStressed out, uptight, overworked, riled up
Unleash what you got let's explore your naughty side
Follow me, where we're going, we don't need no bread crumbs
Can't you see, baby? You're the only one

You are among the few hot women
Let me be your medicine
Cause I got one thing on my mind, I'll be your valentine
Spread your wings and baby, fly away

It's your body, we can love if you want to
Loud if you want to, scream if you want to
Just let me love you, lay right here, girl, don't be scared of me
Give you sex therapy, give you sex therapy

It's your body, we'll go hard if you want to
As hard as you want to, soft as you want to
Just let me love you, lay right here, I'll be your fantasy
Give you sex therapy, give you sex therapy

Baby, that's all for you to do, let your body be
I'll lick you down, I'll make you feel like you're out of body
The doctor's here for you

Take you like Twilight, I'll bite your neck
You don't have to stay in the rain, I'll get you wet, yeah
Push you up against the wall, turn you out and turn you on
Yea, yea, whoa
You might also likeIt's your body, we can love if you want to
Loud if you want to, scream if you want to
Just let me love you, lay right here, girl, don't be scared of me
Give you sex therapy, give you sex therapy

It's your body, we'll go hard if you want to
As hard as you want to, soft as you want to
Just let me love you, lay right here, I'll be your fantasy
Give you sex therapy, give you sex therapy

Girl, it's your body we can do whatever you like
Girl, it's your body we can do whatever you like
It's your body we can ride and rock and roll
Ride and rock and roll
Ride and rock, oh oh oh oh

It's your body, we can love if you want to
Loud if you want to, scream if you want to
Just let me love you, lay right here, girl, don't be scared of me
Give you sex therapy, give you sex therapy

It's your body, we'll go hard if you want to
As hard as you want to, soft as you want to
Just let me love you, lay right here, I'll be your fantasy
Give you sex therapy, give you sex therapy
Shawty, shawty it's your body we can do can do can do
(Sex therapy)
Shawty, shawty it's your body we can do whatever you like
(Sex therapy)
Just let me love you, lay right here, girl, don't be scared of me
Give you sex therapy, give you sex therapy8Embed"
I Am,Mary J. Blige,"{'2010-01-09': 67, '2010-01-02': 65}","5 ContributorsI Am Lyrics[Intro]
Hey no, no, oh, oh-oh
Ain't nobody gonna treat you better
Ain't nobody gonna touch you better
Ain't nobody gonna love you better, boy, than I am
Than I am

[Verse 1]
When you're out at night and you're in the streets
And you have time to yourself
Think of all the love that you get from me
That you can't find nowhere else
When you're far away and I'm not around
And temptation fills your heart
Think of all the ways that I'm faithful, babe
But to replace me would be hard
Cause ain't nobody

[Chorus]
Ain't nobody gonna treat you better (No, nobody)
Ain't nobody gonna touch you better (Nobody)
Ain't nobody gonna love you better (No)
Boy, than I am, than I am (Nobody, nobody)
Than I am (Nobody, nobody)
Than I am (Nobody, nobody)
(Nobody) Oh, nobody's gonna treat you as good as I am
See Mary J. Blige LiveGet tickets as low as $281You might also like[Verse 2]
You can try to act single if you wanna (Wanna)
You can go ahead and mingle if you wanna (Wanna)
You can even behave like you don't care
But you know (But you know)
Like I know (Like I know)
That you ain't that foolish
Who you foolin'?
You won't ruin what's been here all along
You ain't movin' from what you've got at home

[Chorus]
Ain't nobody gonna treat you better (Yeah)
Ain't nobody gonna touch you better (Ain't nobody gonna touch you)
Ain't nobody gonna love you better (Oh)
Boy, than I am, than I am (Nobody, nobody)
Than I am (Nobody, nobody)
Than I am (Nobody, nobody) (Nobody's gonna touch you)
Ohh, nobody's gonna treat you as good as I am

[Bridge]
I just want you to know
Baby, I love you so
There is no need to go lookin' for nothing more
'Cause I've got everything you'll ever need right here
But if you feel that you need to leave
Just know!
[Chorus]
Ain't nobody gonna treat you better
Ain't nobody gonna touch you better (Ain't nobody)
Ain't nobody gonna love you better
Boy, than I am, than I am
Ain't nobody gonna treat you better
Ain't nobody gonna touch you better
Ain't nobody gonna love you better
Boy, than I am, than I am (Nobody, nobody)
Than I am (Nobody, nobody)
Than I am (Nobody, nobody)
Oh, nobody's gonna treat you as good as I am (Nobody, nobody)
Than I am (Nobody, nobody)
Than I am (Nobody, nobody)
Oh, nobody's gonna treat you as good as I am
As I am
As I am
As I am
Nobody's gonna treat you as good as I amEmbed"
According To You,Orianthi,"{'2010-01-09': 36, '2010-01-02': 41}","13 ContributorsAccording to You Lyrics[Verse 1]
According to you
I'm stupid, I'm useless
I can't do anything right
According to you
I'm difficult, hard to please
Forever changing my mind
I'm a mess in a dress
Can't show up on time
Even if it would save my life
According to you
According to you

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
So baby, tell me what I've got to lose
He's into me for everything I'm not
According to you
You might also like[Verse 2]
According to you
I'm boring, I'm moody
And you can't take me any place
According to you
I suck at telling jokes
'Cause I always give it away
I'm the girl with the worst attention span
You're the boy who puts up with that
According to you
According to you

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
So baby, tell me what I've got to lose
He's into me for everything I'm not
According to you

[Bridge]
I need to feel appreciated
Loved, not hated, oh, no
Why can't you see me through his eyes?
It's too bad you're making me decide
[Guitar Solo]

[Verse 3]
But according to me
You're stupid, you're useless
You can't do anything right

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
Baby, tell me what I've got to lose
He's into me for everything I'm not
According to you (You, you)
According to you (You, you)

[Outro]
According to you
I'm stupid
I'm useless
I can't do anything right4Embed"
